FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
92.76030387,9.915342842,2.45,109,1,Spring,All
96.33839762,14.41243492,5.35,211,1,Spring,All
96.91078539,18.66003164,1.77,255,1,Spring,All
96.96242446,22.04057001,2.59,239,1,Spring,All
96.80972593,25.47178035,2.29,294,1,Spring,All
96.86133164,27.94617506,4.98,238,1,Spring,All
96.91295439,30.58603983,2.53,276,1,Spring,All
96.91153518,33.38482646,2.27,73,1,Spring,All
96.9631745,36.92574541,4.94,240,1,Spring,All
97.68103211,41.17620492,3.11,13,2,Spring,All
98.89404412,46.13902556,5.27,253,2,Spring,All
99.53288275,51.22707066,6.13,233,2,Spring,All
99.58538751,56.24859826,1.41,244,2,Spring,All
99.63790961,60.85717343,1.62,99,2,Spring,All
99.69044905,65.58808495,2.66,241,2,Spring,All
99.81025898,70.50046729,2.66,259,3,Spring,All
99.86285532,75.44728726,3.6,238,3,Spring,All
99.90554277,80.09754433,2.16,15,3,Spring,All
99.87036917,84.04598342,3.95,299,3,Spring,All
98.842071,87.69408598,4.12,235,3,Spring,All
97.79414079,91.33419572,4.08,297,3,Spring,All
97.06463499,94.66134079,1.79,292,2,Spring,All
96.57983389,97.87560952,2.79,267,2,Spring,All
96.36433293,81.35589252,5.49,276,2,Spring,All
95.86796654,45.96031496,3.43,234,1,Spring,All
93.28827203,40.68640635,1.86,246,1,Spring,All
92.30351985,43.24381045,2.53,240,1,Spring,All
92.16542035,46.12448514,3.13,210,1,Spring,All
92.21549274,49.53623491,0.37,207,1,Spring,All
94.43938073,54.00908506,3.8,246,1,Spring,All
96.54363349,59.58573946,2.37,314,2,Spring,All
96.59515135,53.303005,3.97,245,2,Spring,All
96.43711138,57.4477166,2.46,217,2,Spring,All
97.12297194,62.36300157,4.02,216,2,Spring,All
97.50634018,67.48087034,2.54,270,2,Spring,All
97.55817587,72.63708524,1.49,310,2,Spring,All
97.61002869,78.21550297,1.99,262,2,Spring,All
97.66189862,84.06913281,1.93,254,2,Spring,All
97.85857259,90.66911704,2.85,287,2,Spring,All
97.91052458,75.376643,1.81,60,2,Spring,All
97.45067961,70.38348945,2.1,253,2,Spring,All
96.35507784,55.40196469,5.2,243,2,Summer,All
95.63668749,55.93492817,1.97,44,1,Summer,All
96.26607975,61.1905136,1.3,298,2,Summer,All
96.98276415,66.4063103,3.17,223,2,Summer,All
97.35381365,70.96289427,4.36,231,2,Summer,All
97.38375448,74.62696254,2.03,271,2,Summer,All
97.23316523,78.20590953,3.26,233,2,Summer,All
97.12989761,81.73315543,2.91,236,2,Summer,All
97.03942025,85.16955791,2.55,249,2,Summer,All
97.00419263,88.70286166,1.45,224,2,Summer,All
95.81874824,87.37820245,4.97,243,2,Summer,All
94.61817729,73.35399351,5.32,259,2,Summer,All
94.59388121,77.28497487,1.92,225,2,Summer,All
94.64475535,67.20014483,2.35,259,1,Summer,All
95.31153489,71.82011852,2.46,267,2,Summer,All
95.50321598,76.29581893,3.28,243,2,Summer,All
95.55439034,80.4921252,2.47,240,2,Summer,All
95.60558161,84.62021245,2.18,41,2,Summer,All
95.88082998,88.8963088,2.59,258,2,Summer,All
97.09139931,94.25437771,1.34,276,2,Summer,All
98.06285761,100.2651429,2.12,214,3,Summer,All
98.28236993,105.9649462,2.76,299,3,Summer,All
98.33446183,111.0479563,1.7,231,3,Summer,All
98.38657093,116.3510208,2.66,67,3,Summer,All
98.43869724,121.6117222,3.2,86,3,Summer,All
98.49084075,126.8780233,2.4,274,3,Summer,All
98.54300148,132.043444,2.36,260,3,Summer,All
98.59517944,137.0712455,1.28,205,3,Summer,All
98.64737461,142.0038693,4.19,203,4,Summer,All
98.60450815,148.0416751,3.48,331,4,Summer,All
98.55256741,154.4211251,2.89,204,4,Summer,All
98.60474852,161.3761568,1.23,242,3,Summer,All
98.65694686,168.4975488,4.71,24,4,Summer,All
98.65968971,175.6120681,2.55,279,4,Summer,All
97.69517955,181.4049911,0.09,241,3,Summer,All
97.51737995,187.6828318,5.27,256,4,Summer,All
97.77653456,121.4536786,2.33,201,3,Summer,All
97.29483312,127.0536646,2.29,146,3,Summer,All
96.97368302,102.372333,2.14,253,2,Summer,All
95.84508125,107.9178973,1.79,206,2,Summer,All
95.71097394,113.3061568,2.16,231,2,Summer,All
95.57129773,118.9290517,2.59,246,2,Summer,All
95.62249458,88.7886901,5.33,233,2,Summer,All
96.83871268,96.07465,3.37,261,2,Summer,All
96.89032796,102.6265877,1.49,195,2,Summer,All
96.94196028,108.1446967,2.27,240,2,Summer,All
96.99360964,113.5822156,4.97,243,3,Summer,All
97.11666355,119.6878166,4.43,236,3,Summer,All
97.28665836,125.6409214,2.14,7,3,Summer,All
97.45289034,131.7647958,3.58,242,3,Summer,All
98.14570229,138.3950103,6.66,129,4,Summer,All
98.16007026,106.2472766,2.2,262,3,Summer,All
97.67957028,71.79985939,1.12,24,2,Summer,All
97.48507381,74.26854162,1.23,155,2,Summer,All
96.37481581,58.52845238,1.79,325,2,Summer,All
95.37419711,53.17714658,1.17,57,1,Summer,All
95.42532888,60.46490142,4.08,212,2,Summer,All
95.47647753,50.93090392,1.6,57,1,Summer,All
94.93034871,35.69326278,1.43,232,1,Summer,All
94.05308437,33.50957005,7.68,243,1,Summer,All
94.10377997,41.54440907,1.73,211,1,Summer,All
96.00545448,42.19605451,2.4,206,1,Summer,All
96.05679466,49.6756354,2.55,258,1,Summer,All
96.10815179,41.83796914,3.32,252,1,Summer,All
96.15952587,41.48131982,1.34,244,1,Summer,All
96.21091692,37.13520225,1.55,256,1,Summer,All
96.26232493,43.06455131,1.38,257,1,Summer,All
95.94728048,33.09205952,0.93,18,1,Summer,All
95.99860145,42.79887864,1.96,236,1,Summer,All
96.04993937,46.93703026,1.81,306,1,Summer,All
95.45667501,37.37391578,1.06,250,1,Summer,All
94.52578912,29.02472339,2.42,297,1,Summer,All
94.57664078,32.49672484,2.52,40,1,Summer,All
95.63439984,41.52556603,1.55,241,1,Summer,All
95.68446923,49.19528658,1.6,246,1,Summer,All
95.73570343,54.35490232,1.82,333,1,Summer,All
95.19148652,43.13765662,1.36,308,1,Summer,All
93.78578543,25.85757859,1.99,229,1,Summer,All
93.45424419,31.50181074,1.38,251,1,Summer,All
93.50474208,35.42601135,1.34,233,1,Summer,All
94.09415848,42.24344298,1.17,202,1,Summer,All
94.14486765,34.22157708,1.92,284,1,Summer,All
94.19559355,27.07716596,1.75,236,1,Summer,All
93.88258451,27.08239496,1.32,237,1,Summer,All
93.79345165,22.30781347,1.84,208,1,Summer,All
93.1421305,16.47810961,1.17,218,1,Summer,All
91.25391164,11.10586714,1.45,228,1,Summer,All
91.3036831,13.90089386,1.56,150,1,Summer,All
91.35347099,13.74230836,2.03,9,1,Summer,All
91.40327531,13.38925246,0.56,39,1,Summer,All
91.45309608,14.20029558,5.62,250,1,Summer,All
91.5029333,14.9943115,1.42,238,1,Summer,All
91.90535072,20.92018847,1.17,242,1,Summer,All
92.13674018,26.8570667,1.16,204,1,Summer,All
92.47989033,32.74657128,1.68,210,1,Summer,All
92.53006655,27.02248264,1.14,184,1,Summer,All
92.05191071,17.03816723,1.64,204,1,Summer,All
90.05731006,11.5011339,2.01,239,1,Summer,All
89.09283464,8.43681601,1.27,328,1,Summer,All
89.14189261,6.985300261,1.14,2,1,Summer,All
89.19096679,11.08085266,1.58,240,1,Summer,All
89.47137385,10.27350026,1.12,322,1,Summer,All
89.5205568,9.044150726,1.52,232,1,Summer,All
89.56975598,7.976349214,1.32,223,1,Summer,All
89.65171208,8.144003356,0.69,16,1,Summer,All
89.90184999,9.042740331,1.27,6,1,Summer,All
89.95117506,12.98302522,2.03,318,1,Summer,All
90.00051642,16.35307424,2.31,261,1,Summer,All
90.29905272,17.98329961,1.42,20,1,Summer,All
90.83663322,21.51571392,0.95,40,1,Summer,All
90.89519498,24.95313658,1.36,47,1,Summer,All
90.944848,22.22015854,1.1,256,1,Summer,All
89.80318082,13.84827092,1.6,109,1,Summer,All
89.69355268,9.372270896,2.85,45,1,Summer,All
89.70331432,8.814619483,1.42,67,1,Summer,All
89.75257385,12.25876123,2.74,268,1,Summer,All
89.82247094,12.26061281,2.59,240,1,Summer,All
89.87176981,15.75966721,1.56,7,1,Summer,All
89.92108495,18.89460993,1.27,200,1,Summer,All
92.79607537,22.94530104,5.18,202,1,Summer,All
93.49425486,26.78387573,1.16,71,1,Summer,All
93.54476596,30.21065244,1.99,258,1,Fall,All
93.05598225,33.09453249,2.87,229,1,Fall,All
90.59070765,34.8641997,1.12,127,1,Fall,All
90.64026015,37.0491007,1.66,52,1,Fall,All
90.68982901,39.19874063,2.03,45,1,Fall,All
90.72461191,41.40849529,1.75,250,1,Fall,All
91.51669303,43.96296659,2.55,42,1,Fall,All
92.45420709,46.36442907,1.28,78,1,Fall,All
92.98673302,48.94950355,2.37,36,1,Fall,All
93.03707657,38.63650264,1.47,240,1,Fall,All
92.79867258,31.06039503,2.61,246,1,Fall,All
92.84895404,34.28446777,0.53,87,1,Fall,All
92.86444405,37.45240219,1.51,221,1,Fall,All
93.04030563,41.16015575,1.12,51,1,Fall,All
94.166151,45.08303343,2.61,36,1,Fall,All
94.65263088,49.00700708,0.69,315,1,Fall,All
95.50999547,52.33649302,1.02,240,1,Fall,All
95.56117207,55.74917985,2.38,54,1,Fall,All
95.61236557,58.6874725,2.72,42,1,Fall,All
95.66357597,61.5082097,1.38,25,1,Fall,All
96.07594803,64.15587244,1.62,235,2,Fall,All
95.99275065,65.4163839,1.92,151,2,Fall,All
95.73746901,66.61571205,1.47,202,2,Fall,All
95.33036431,68.17403661,1.42,241,1,Fall,All
95.54406228,70.00044248,1.92,262,2,Fall,All
95.87682205,72.36026021,0.91,204,2,Fall,All
95.92811976,74.56834218,1.3,241,2,Fall,All
95.89778649,76.65553203,2.09,286,2,Fall,All
96.60431821,79.3656275,2.46,218,2,Fall,All
96.75599259,81.80877514,2.48,242,2,Fall,All
97.15021342,84.65705393,2.57,234,2,Fall,All
97.02738777,70.57629243,1.32,289,2,Fall,All
94.55705191,54.27018836,1.75,45,1,Fall,All
93.36164737,55.96248417,1.19,339,1,Fall,All
92.38048061,51.1390065,2.59,44,1,Fall,All
91.29148961,44.28645823,1.86,69,1,Fall,All
90.53478726,30.66004094,2.7,237,1,Fall,All
90.5843213,31.30260675,2.61,236,1,Fall,All
90.63387169,33.17308459,1.51,153,1,Fall,All
90.68343844,34.89580289,2.05,233,1,Fall,All
90.73302155,36.73396116,4.54,308,1,Fall,All
90.78262103,30.03763908,0.86,239,1,Fall,All
90.72329304,20.7010152,1.99,231,1,Fall,All
90.63778198,22.55763482,1.4,25,1,Fall,All
90.68735002,24.66408754,1.12,261,1,Fall,All
90.73693443,26.76064707,2.35,213,1,Fall,All
92.0929232,28.46676847,5.42,58,1,Fall,All
89.72428934,8.792755104,1.64,34,1,Spring,All
92.73969625,11.68526799,5.23,53,1,Spring,All
92.84710726,13.88044219,3.24,252,1,Spring,All
93.81424793,16.71358634,2.89,216,1,Spring,All
94.3546811,19.77835218,1.62,220,1,Spring,All
95.27577063,23.42178247,2.38,269,1,Spring,All
97.54298615,27.65403012,1.68,48,1,Spring,All
97.59483395,30.97874832,3.61,246,1,Spring,All
95.26085873,32.76959444,3.91,287,1,Spring,All
