FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
89.4352146,7.920687261,2.16,263,1,Spring,All
89.32058415,5.328657526,1.84,276,1,Spring,All
88.60848716,4.586869526,2.16,240,1,Spring,All
88.65738522,4.856975189,3.22,229,1,Spring,All
88.70629944,4.094507582,2.46,204,1,Spring,All
87.4558726,1.089863514,1.64,230,1,Spring,All
86.69890315,0.136169791,2.1,245,1,Spring,All
86.14631155,0.177515812,4.82,233,1,Spring,All
87.97709795,1.114770495,1.32,63,1,Spring,All
88.70377719,1.823188408,3.45,44,1,Spring,All
90.13655428,2.717170682,4.39,232,1,Spring,All
91.09450856,4.153703502,1.45,230,1,Spring,All
91.88706033,6.169026719,1.71,256,1,Spring,All
92.31029322,8.525774105,0.15,264,1,Spring,All
92.36041344,10.4742455,2.18,233,1,Spring,All
92.41055021,7.196576282,1.64,27,1,Spring,All
92.14609972,4.370912059,4.81,274,1,Spring,All
91.57980342,2.882924022,2.57,243,1,Spring,All
91.34352801,1.985731666,3.09,230,1,Spring,All
91.57673145,3.963917049,2.52,25,1,Spring,All
91.89584772,6.17400187,2.74,17,1,Spring,All
91.94583111,8.473712571,2.03,225,1,Spring,All
91.995831,7.019919976,1.9,61,1,Spring,All
92.0458474,6.800513639,1.77,248,1,Spring,All
92.13695585,9.231729647,2.31,233,1,Spring,All
92.18701884,7.925547965,3.99,236,1,Spring,All
92.10142941,7.323983663,2.09,246,1,Spring,All
92.0102708,8.306361111,2.01,56,1,Spring,All
91.83480984,5.133638476,2.1,221,1,Spring,All
90.99958874,5.676824166,3.74,257,1,Spring,All
90.67570151,4.850747541,1.49,33,1,Spring,All
90.72528207,5.981767882,2.07,19,1,Spring,All
91.17347952,7.644096862,2.38,239,1,Spring,All
91.94051021,9.534396572,1.55,61,1,Spring,All
92.08696984,11.41118524,1.82,220,1,Spring,All
92.13701633,13.09310532,3.15,225,1,Spring,All
92.18707935,14.43049696,3.13,51,1,Spring,All
92.06483251,15.38746602,4.17,217,1,Spring,All
92.11744599,16.80745323,1.82,250,1,Spring,All
92.16750254,15.13303108,1.43,302,1,Spring,All
92.17935458,16.54112453,1.96,336,1,Spring,All
92.22943157,18.23067942,0.56,33,1,Summer,All
92.37073832,20.49368054,2.66,251,1,Summer,All
92.98337928,23.10010809,3.15,295,1,Summer,All
93.8152005,25.97905402,3.17,239,1,Summer,All
95.11297841,29.25249593,1.21,206,1,Summer,All
95.3574825,32.72975132,2.55,246,1,Summer,All
95.18237986,35.77912241,3.02,206,1,Summer,All
94.87850051,38.73969225,2.68,6,1,Summer,All
94.77520386,41.88703284,0.89,207,1,Summer,All
94.70099692,45.26273119,3.37,243,1,Summer,All
94.49717335,48.05328772,1.51,244,1,Summer,All
94.24120151,51.00194901,2.42,155,1,Summer,All
93.9678884,53.81606399,1.96,252,1,Summer,All
93.72422843,56.70811366,2.81,245,1,Summer,All
93.63729882,59.48140391,2.19,249,1,Summer,All
93.58233654,62.26633527,3.22,274,1,Summer,All
93.61673999,59.60847656,5.33,295,1,Summer,All
93.57833759,62.54486472,2.61,260,1,Summer,All
