FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
88.82714904,7.591666754,1.62,1,1,Spring,All
90.54678814,9.285941889,5.33,14,1,Spring,All
91.26234608,11.08618859,5.17,215,1,Spring,All
91.79966346,12.50629061,0.99,245,1,Spring,All
91.94112572,14.2067256,4.96,33,1,Spring,All
91.99112406,16.07830126,1.84,212,1,Spring,All
92.5961705,17.77914141,3.39,222,1,Spring,All
93.3632743,19.46544894,2.81,268,1,Spring,All
93.41374216,20.81779104,3.09,215,1,Spring,All
93.46422669,22.69072667,2.68,300,1,Spring,All
94.77872492,24.85132176,7.3,9,1,Spring,All
95.83210432,27.74287433,3.87,59,1,Spring,All
95.38129407,29.32873617,2.05,260,1,Spring,All
94.71047628,30.69232481,1.73,71,1,Spring,All
92.31224519,15.11651128,3.63,233,1,Spring,All
91.63047762,16.48793433,2.06,53,1,Spring,All
91.6803734,18.24310652,3.39,263,1,Spring,All
91.73028565,20.09425153,1.16,17,1,Spring,All
92.07138761,22.44527515,2.46,219,1,Spring,All
92.36145098,24.49212746,2.1,242,1,Spring,All
92.93646223,26.59813437,1.73,45,1,Spring,All
92.98678918,28.43556435,1.86,217,1,Spring,All
92.47234264,30.03329738,5.5,46,1,Spring,All
92.51602717,31.82377886,2.09,68,1,Spring,All
92.56621531,33.94767254,1.95,302,1,Spring,All
92.76097366,36.34032661,5.83,200,1,Spring,All
93.08674102,38.7495286,1.66,241,1,Spring,All
94.50828865,41.72001665,2.72,212,1,Spring,All
95.92865249,44.84287848,2.38,331,1,Spring,All
95.97996731,47.39154662,0.68,94,1,Spring,All
96.33379936,49.91402001,2.27,226,1,Spring,All
96.63186556,52.7412665,2.29,259,2,Spring,All
96.77140715,55.80641808,2.48,153,2,Spring,All
96.95203497,59.15583681,2.48,245,2,Spring,All
97.00368766,62.97074523,2.14,231,2,Spring,All
97.05535741,67.359091,2.56,246,2,Spring,All
97.62099615,70.91701443,7.6,34,3,Spring,All
97.6728697,73.79983355,2.33,219,2,Spring,All
97.72476037,76.45880169,2.14,261,2,Spring,All
97.77666818,79.57822099,2.59,279,3,Spring,All
97.37537305,82.14777624,5.07,166,3,Spring,All
97.33436591,84.89469902,3.84,236,3,Summer,All
97.36045577,88.02132205,1.82,76,3,Summer,All
97.32061138,91.26401278,3.19,185,3,Summer,All
97.25032508,94.60290953,1.88,32,3,Summer,All
97.197246,98.48501583,2.35,228,3,Summer,All
97.04994047,102.3207309,5.42,260,3,Summer,All
97.10120513,106.4314058,1.62,235,3,Summer,All
97.15290707,111.1231849,1.94,209,3,Summer,All
97.20462608,115.7265331,1.49,281,3,Summer,All
