FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
92.12174201,9.56660251,2.35,230,1,Spring,ALL
94.39525872,13.55347902,2.76,49,1,Spring,ALL
94.44606729,17.58821939,5.01,72,1,Spring,ALL
93.64273646,14.68943146,2.32,246,1,Spring,ALL
92.55791797,15.20166398,4.34,214,1,Spring,ALL
92.60811995,16.94065859,2.38,240,1,Spring,ALL
92.98105514,18.84277431,4.54,65,1,Spring,ALL
93.97165695,21.46078944,0,75,1,Spring,ALL
94.21236854,24.44639714,3.13,291,1,Spring,ALL
93.75874762,27.18532091,3.17,56,1,Spring,ALL
93.74881079,29.88471227,2.14,287,1,Spring,ALL
93.07966561,32.26569846,3.48,240,1,Spring,ALL
92.29810318,13.89543627,2.51,215,1,Spring,ALL
92.05433065,10.70299539,2.12,247,1,Spring,ALL
92.10436636,12.91956477,2.41,240,1,Spring,ALL
92.1544186,15.17940449,2.94,215,1,Spring,ALL
92.74598526,18.22561041,4.56,253,1,Spring,ALL
92.79624933,21.13164897,1.52,268,1,Spring,ALL
92.84652999,23.76201128,3.96,236,1,Spring,ALL
92.86832473,26.34699285,1.94,222,1,Spring,ALL
93.0979893,29.19856658,3.5,156,1,Spring,ALL
93.14836958,20.32031077,0.99,247,1,Spring,ALL
93.19876649,23.06913468,2.68,240,1,Spring,ALL
93.24918004,21.91134666,1.53,257,1,Spring,ALL
93.29961024,24.98307612,2.33,142,1,Spring,ALL
93.35005708,28.37461133,3.6,185,1,Spring,ALL
93.40052058,31.71228276,4.96,72,1,Spring,ALL
94.14461803,35.66750096,3.54,190,1,Spring,ALL
94.19534386,39.59727065,0.99,229,1,Spring,ALL
94.24608643,43.4710175,1.64,272,1,Spring,ALL
93.44867255,46.72301148,2.79,266,1,Spring,ALL
93.21313836,50.14391041,1.81,228,1,Spring,ALL
93.26355665,53.72299005,2.57,350,1,Spring,ALL
93.07442766,57.44163346,2.18,233,1,Spring,ALL
93.12480016,61.4868227,2.6,60,1,Spring,ALL
93.69562576,65.88469504,1.82,341,1,Spring,ALL
94.65478479,70.50369955,2.05,222,1,Spring,ALL
94.97239391,75.02202238,4.77,295,1,Spring,ALL
95.31642348,79.55994441,2.33,14,1,Spring,ALL
95.43886096,83.84825966,3.71,141,1,Spring,ALL
94.89406059,87.08449771,2.1,210,1,Spring,ALL
93.59733317,89.49513532,2.63,257,1,Summer,ALL
93.35049854,91.7884523,3.32,346,1,Summer,ALL
92.96690286,94.03978857,1.79,239,1,Summer,ALL
92.67707102,96.15617237,3.61,188,1,Summer,ALL
92.60827598,98.46772603,0,270,1,Summer,ALL
92.65849458,101.1055482,7.09,236,1,Summer,ALL
92.70872976,104.2847897,2.1,233,1,Summer,ALL
92.99933783,107.7782724,2.89,79,1,Summer,ALL
93.04968554,111.5246236,4.23,232,1,Summer,ALL
93.07438129,97.55225786,2.4,276,1,Summer,ALL
93.12475378,101.1704416,4.66,224,1,Summer,ALL
93.17514289,104.6758649,2.89,236,1,Summer,ALL
93.22554864,108.2822091,4.63,251,1,Summer,ALL
93.47286851,112.0179549,1.49,248,1,Summer,ALL
93.63115011,115.7204826,2.12,258,1,Summer,ALL
93.68170641,119.0441614,3.32,190,1,Summer,ALL
93.73227941,122.6105463,2.68,252,1,Summer,ALL
93.7828691,126.3219373,3.26,328,1,Summer,ALL
94.01219404,130.5042674,2.46,41,1,Summer,ALL
94.54404355,135.0989014,1.92,223,1,Summer,ALL
95.25492791,140.2612603,2.16,40,1,Summer,ALL
95.78321587,145.7149529,2.65,243,1,Summer,ALL
95.83448268,150.7514981,2.94,256,1,Summer,ALL
95.673404,155.4038162,2.87,249,1,Summer,ALL
94.56337618,158.6234337,2.05,241,1,Summer,ALL
93.85489527,161.7716027,2.53,232,1,Summer,ALL
93.90552545,165.7397006,4.81,338,1,Summer,ALL
94.09297981,169.9301056,2.94,325,1,Summer,ALL
94.15157925,174.3346595,1.4,198,1,Summer,ALL
95.2256583,179.3127755,0.35,236,1,Summer,ALL
96.17188229,184.7763013,1.02,212,1,Summer,ALL
96.49469683,190.4100632,1.86,50,1,Summer,ALL
96.54619853,195.9266303,1.88,234,1,Summer,ALL
96.59771724,201.225258,1.62,219,1,Summer,ALL
96.51392154,206.3791233,3.69,171,1,Summer,ALL
96.56542959,211.9915509,4.02,241,1,Summer,ALL
97.20907013,218.0535125,0.68,199,1,Summer,ALL
97.24769086,105.3492575,1.6,358,1,Summer,ALL
96.93316505,110.4358794,2.83,44,1,Summer,ALL
96.32206013,115.2779396,1.53,251,1,Summer,ALL
96.34557455,120.2819287,2.18,220,1,Summer,ALL
96.39702702,125.4082935,5.1,236,1,Summer,ALL
95.81406783,130.1777146,2.92,242,1,Summer,ALL
95.56270562,134.8420309,5.39,17,1,Summer,ALL
96.84474857,139.9077089,1.82,233,1,Summer,ALL
97.34380513,144.6185593,1.19,219,1,Summer,ALL
97.39558717,149.1231539,2.38,252,1,Summer,ALL
96.89360708,153.2407399,1.17,210,1,Summer,ALL
96.56055739,157.2894842,0.91,61,1,Summer,ALL
96.47982726,161.3746996,1.82,295,1,Summer,ALL
96.53132405,165.7545556,1.14,239,1,Summer,ALL
96.4406107,170.0172375,1.96,48,1,Summer,ALL
96.49209454,174.3305097,1.94,209,1,Summer,ALL
96.19389912,154.765031,0.5,232,1,Summer,ALL
95.61064916,158.8501245,0.37,235,1,Summer,ALL
95.64743134,163.1159756,5.87,233,1,Summer,ALL
95.69865332,167.6680433,1.51,266,1,Summer,ALL
95.74989221,172.3163305,1.38,277,1,Summer,ALL
95.64253181,136.5519383,2.18,191,1,Summer,ALL
94.91734007,141.0933004,1.96,233,1,Summer,ALL
94.20748854,145.534827,1.12,258,1,Summer,ALL
94.25823512,150.3972625,1.88,224,1,Summer,ALL
94.30899845,155.1431012,1.1,228,1,Summer,ALL
94.35977855,159.8655236,1.88,236,1,Summer,ALL
94.41057541,164.7320349,2.03,252,1,Summer,ALL
94.46138904,169.4157993,0.76,252,1,Summer,ALL
94.51221944,141.5862814,1.43,246,1,Summer,ALL
93.3965153,145.7436209,2.46,250,1,Summer,ALL
92.61680614,100.6720086,1.96,221,1,Summer,ALL
92.26922251,79.4438608,1.53,232,1,Summer,ALL
92.31932917,84.94350638,2.63,60,1,Summer,ALL
92.8555754,86.82489698,2.33,235,1,Summer,ALL
92.90587565,65.48730842,1.97,234,1,Summer,ALL
92.9561925,60.41284324,1.58,282,1,Summer,ALL
93.00652596,34.04318359,2.2,239,1,Summer,ALL
92.44125667,37.49802655,2.04,251,1,Summer,ALL
92.49142013,43.61332707,1.47,252,1,Summer,ALL
93.02343478,49.79183752,1.36,247,1,Summer,ALL
93.59959305,55.81601417,1.66,248,1,Summer,ALL
93.65013893,61.08886233,1.88,254,1,Summer,ALL
92.83132126,65.59213925,1.9,163,1,Summer,ALL
92.86382176,70.2874096,1.34,220,1,Summer,ALL
92.91412472,75.1467399,2.66,255,1,Summer,ALL
92.9644443,79.82811752,2.31,228,1,Summer,ALL
93.6228171,85.15573688,0.86,236,1,Summer,ALL
94.3264454,76.46616837,1.28,224,1,Summer,ALL
93.37490955,47.43540834,2.12,88,1,Summer,ALL
89.34310926,35.97272609,5.59,256,1,Summer,ALL
88.6594325,20.31245228,2.65,260,1,Summer,ALL
88.70834739,13.50709255,2.16,277,1,Summer,ALL
88.75727843,10.49362306,4.79,258,1,Summer,ALL
88.80622562,11.63118271,1.45,92,1,Summer,ALL
89.56775161,11.25283053,0.22,45,1,Summer,ALL
89.61696638,13.16144828,2.23,343,1,Summer,ALL
89.6661974,17.70189535,1.12,235,1,Summer,ALL
89.69402255,21.74552825,1.88,245,1,Summer,ALL
89.74327901,18.39332674,1.82,224,1,Summer,ALL
89.79255173,23.08439884,1.4,232,1,Summer,ALL
90.04053539,27.94027484,1.45,234,1,Summer,ALL
90.89489359,33.06712997,1.94,55,1,Summer,ALL
93.13086078,38.97810564,1.68,18,1,Summer,ALL
94.07149622,44.88106306,1.27,63,1,Summer,ALL
93.78943106,50.05768906,1.53,337,1,Summer,ALL
93.84003962,55.07832676,2.33,42,1,Summer,ALL
92.31708046,50.29575994,0.88,285,1,Summer,ALL
91.78453267,54.36978191,1.4,85,1,Summer,ALL
91.83447931,58.9879104,1.84,58,1,Summer,ALL
91.88444244,63.02038864,2.25,46,1,Summer,ALL
93.50762612,67.66600504,1.79,243,1,Summer,ALL
94.04112799,72.30985774,2.03,236,1,Summer,ALL
94.2219356,76.92287518,1.4,238,1,Summer,ALL
94.71858122,81.47931028,0.93,250,1,Summer,ALL
94.76949654,85.77504718,2.07,67,1,Summer,ALL
95.2246331,90.19304803,1.73,49,1,Summer,ALL
95.3551237,94.56820872,2.03,255,1,Summer,ALL
95.40624917,84.80012472,1.43,28,1,Summer,ALL
95.45739152,89.2667543,1.81,237,1,Summer,ALL
95.50855076,93.77946871,2.18,242,1,Summer,ALL
94.99972063,97.57807379,2.2,33,1,Summer,ALL
94.89707542,101.3163165,2.2,61,1,Summer,ALL
94.89096049,104.9699999,2.38,219,1,Summer,ALL
94.57290125,108.3793607,1.97,65,1,Fall,ALL
93.56689914,99.30310714,1.56,43,1,Fall,ALL
92.19496306,90.31654653,3.11,17,1,Fall,ALL
91.51726687,81.9072795,1.13,29,1,Fall,ALL
90.60746588,55.89331745,1.47,158,1,Fall,ALL
