FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
89.61103709,8.169759576,3.97,28,1,Spring,ALL
90.7875627,10.26756857,3.3,133,1,Spring,ALL
91.6980023,12.66914677,3.43,238,1,Spring,ALL
92.58166794,15.4581372,3.67,48,1,Spring,ALL
92.86076579,18.33367621,0.48,76,1,Spring,ALL
94.37806358,21.45240063,4.62,246,1,Spring,ALL
94.83198428,24.73679424,1.72,93,1,Spring,ALL
95.53075355,28.13884677,1.32,237,1,Spring,ALL
95.57611278,30.90327531,1.42,80,1,Spring,ALL
95.06241173,33.05562995,1.86,204,1,Spring,ALL
95.11344057,34.85053844,1.7,235,1,Spring,ALL
94.37367102,36.21998052,1.87,241,1,Spring,ALL
93.94365695,37.95596794,1.7,216,1,Spring,ALL
93.99431643,40.33411162,1.81,227,1,Spring,ALL
94.04499263,42.2037017,3.04,216,1,Spring,ALL
94.09568556,43.82301503,2.37,225,1,Spring,ALL
94.61020623,46.3942216,2.17,250,1,Spring,ALL
94.66108577,48.93753333,1.68,226,1,Spring,ALL
94.52543269,51.1445034,1.77,220,1,Spring,ALL
94.0651734,53.22658315,1.7,34,1,Spring,ALL
94.51184945,55.93124602,0.99,64,1,Spring,ALL
94.56269651,58.7827575,1.88,227,1,Spring,ALL
94.61356036,61.64668717,2.26,26,1,Spring,ALL
92.52408152,63.3557009,2.12,244,1,Spring,ALL
91.95265138,64.64460126,2.77,267,1,Spring,ALL
91.44408615,64.93064257,2.42,228,1,Spring,ALL
90.92650248,65.62880758,1.64,60,1,Spring,ALL
90.57374994,66.60467002,4.92,63,1,Spring,ALL
90.32681545,68.05480139,5.1,247,1,Spring,ALL
90.37628083,70.0721713,2.4,239,1,Spring,ALL
90.42576253,39.88241919,2.44,235,1,Spring,ALL
90.47526057,42.15464806,2.55,311,1,Spring,ALL
91.07540021,44.67290045,8.23,284,1,Spring,ALL
91.28125636,47.34164678,2.57,165,1,Spring,ALL
92.54065834,50.4018882,1.02,317,1,Spring,ALL
92.89143427,53.11060588,1.97,244,1,Spring,ALL
92.60752954,54.90805742,5.1,234,1,Spring,ALL
92.61225217,57.13762383,1.34,216,1,Spring,ALL
92.34519262,59.62954043,2.16,221,1,Spring,ALL
91.87006558,61.85744277,1.49,311,1,Spring,ALL
91.02360358,59.53633287,2.53,141,1,Spring,ALL
89.25358783,60.81672848,0.56,292,1,Summer,ALL
89.00322416,62.21726616,2.1,39,1,Summer,ALL
88.76894844,48.62572139,2.13,336,1,Summer,ALL
88.94208667,50.20973466,4.66,240,1,Summer,ALL
89.09857735,39.79992919,2.09,330,1,Summer,ALL
89.14763722,40.97281041,4.62,237,1,Summer,ALL
89.24408582,42.36619228,1.53,221,1,Summer,ALL
90.70681322,44.4792257,2.85,260,1,Summer,ALL
91.67746673,46.84123151,2.48,258,1,Summer,ALL
91.91596948,49.12217479,3.09,325,1,Summer,ALL
91.96595951,50.81132482,2.07,240,1,Summer,ALL
91.62210769,52.32424429,3.2,227,1,Summer,ALL
91.67200071,54.18124717,3.22,188,1,Summer,ALL
91.79686702,56.61997892,2.63,240,1,Summer,ALL
92.38758556,57.56592918,4.19,225,1,Summer,ALL
92.31887287,59.73255509,1.75,58,1,Summer,ALL
91.57328234,61.75377072,1.42,257,1,Summer,ALL
91.62315923,64.12948255,1.81,308,1,Summer,ALL
91.43218226,66.14772139,3.07,226,1,Summer,ALL
91.5656254,68.6004208,1.81,37,1,Summer,ALL
92.8351545,71.77356745,3.58,273,1,Summer,ALL
94.04204801,75.35338906,3.15,234,1,Summer,ALL
94.09273997,79.05366093,1.43,144,1,Summer,ALL
94.22830381,82.97050146,3,278,1,Summer,ALL
94.58755484,86.75371127,2.33,239,1,Summer,ALL
94.6384269,90.28001232,3.07,316,1,Summer,ALL
94.92927964,93.79196194,2.06,295,1,Summer,ALL
95.50474955,97.35935926,2.59,241,1,Summer,ALL
95.55592442,100.9689118,5.32,285,1,Summer,ALL
95.92150302,104.6115608,6.02,213,1,Summer,ALL
96.24715456,108.4422173,2.37,26,1,Summer,ALL
96.29857454,112.230072,3.02,203,1,Summer,ALL
96.35001149,115.9616082,3.06,284,1,Summer,ALL
97.1971482,120.5657501,6.05,216,1,Summer,ALL
97.24888182,125.1656826,2.33,214,1,Summer,ALL
97.08901967,129.6785213,3.09,252,1,Summer,ALL
97.10636667,134.1226115,2.18,251,1,Summer,ALL
96.78422014,138.5463753,3.11,200,1,Summer,ALL
96.72918254,143.1929242,2.53,4,1,Summer,ALL
96.78076166,148.5205476,2.14,220,1,Summer,ALL
96.72767868,153.8836565,0.63,235,1,Summer,ALL
96.4955385,159.1978417,3.3,225,1,Summer,ALL
95.61434871,164.0874519,1.95,240,1,Summer,ALL
94.83282103,168.5802304,1.81,51,1,Summer,ALL
94.46537791,173.0118141,2.94,219,1,Summer,ALL
94.51620963,176.9605065,3.56,221,1,Summer,ALL
94.56705814,180.9217622,2.2,241,1,Summer,ALL
94.61792343,184.7232338,3.6,320,1,Summer,ALL
94.66880552,188.5932938,1.23,261,1,Summer,ALL
94.72898504,192.7075004,1.75,33,1,Summer,ALL
95.13431748,197.2557242,3.97,250,1,Summer,ALL
94.87166048,201.6347543,1.06,251,1,Summer,ALL
94.14870952,205.6243984,2.2,238,1,Summer,ALL
94.16992338,209.6823468,1.73,194,1,Summer,ALL
94.22065756,213.8537923,1.99,205,1,Summer,ALL
94.18343652,217.9641941,0.61,255,1,Summer,ALL
94.23417516,222.1617778,2.1,239,1,Summer,ALL
94.02196008,226.0744399,1.34,32,1,Summer,ALL
92.9630911,229.4929537,1.47,224,1,Summer,ALL
93.01342684,233.0480913,1.84,244,1,Summer,ALL
92.67733046,236.3505744,0.91,224,1,Summer,ALL
92.72757186,239.7049259,2.35,224,1,Summer,ALL
92.77782984,243.2156923,1.27,228,1,Summer,ALL
92.82810442,247.0183828,1.55,225,1,Summer,ALL
92.70008644,178.6574412,1.47,2,1,Summer,ALL
92.40238291,123.7541916,0.51,252,1,Summer,ALL
92.45253354,127.9014336,2.12,218,1,Summer,ALL
92.50270072,131.7844079,1.25,230,1,Summer,ALL
92.55288446,135.6707789,1.43,95,1,Summer,ALL
92.60308478,139.3899656,0.94,251,1,Summer,ALL
92.65330166,143.3184286,1.71,302,1,Summer,ALL
93.05517488,147.2279548,2.22,248,1,Summer,ALL
93.10554102,150.925826,2.61,242,1,Summer,ALL
93.88853616,154.8606887,3.39,246,1,Summer,ALL
93.93917744,159.0391059,2.25,256,1,Summer,ALL
93.60712704,145.6114383,0.65,29,1,Summer,ALL
93.31170819,149.287039,1.55,37,1,Summer,ALL
93.22986374,152.8901217,5.01,209,1,Summer,ALL
93.8443268,156.9540219,0.32,239,1,Summer,ALL
95.02130745,161.2974937,2.18,243,1,Summer,ALL
94.69552022,165.1301272,2.76,230,1,Summer,ALL
94.10014242,147.8422278,1.36,41,1,Summer,ALL
93.068549,98.66003208,1.56,256,1,Summer,ALL
91.35368464,72.37665394,1.51,337,1,Summer,ALL
91.07244757,58.62177581,2.29,246,1,Summer,ALL
91.12215911,39.32128884,1.66,231,1,Summer,ALL
90.97184232,37.87335643,2.61,192,1,Summer,ALL
91.02152065,35.5663378,1.58,260,1,Summer,ALL
91.00673678,40.15603808,2.76,266,1,Summer,ALL
90.67086995,44.2725406,1.4,244,1,Summer,ALL
91.49484216,49.2617657,1.4,239,1,Summer,ALL
91.75781318,54.1929694,3.36,227,1,Summer,ALL
93.10947282,51.6959873,3.67,55,1,Summer,ALL
93.15985689,57.36747824,0.62,199,1,Summer,ALL
92.99653445,62.29546648,2.21,244,1,Summer,ALL
91.97186298,61.45427816,2.74,232,1,Summer,ALL
91.66096899,41.64946735,3.56,209,1,Summer,ALL
91.42523013,33.10280321,1.38,214,1,Summer,ALL
91.45395302,35.68428931,3.71,245,1,Summer,ALL
91.4556737,40.7233736,0.93,272,1,Summer,ALL
91.50551177,42.79615993,1.62,352,1,Summer,ALL
92.24836799,48.30313729,1.68,285,1,Summer,ALL
92.29846776,53.08072834,1.42,235,1,Summer,ALL
94.91447721,58.5437737,1.51,49,1,Summer,ALL
94.96545721,63.73935052,1.66,250,1,Summer,ALL
94.84711636,68.83207468,1.81,342,1,Summer,ALL
94.23245953,73.77705283,1.43,5,1,Summer,ALL
92.70554795,77.62120156,4.06,255,1,Summer,ALL
92.61868145,81.62234819,1.36,214,1,Summer,ALL
92.34368503,85.41639433,2.9,234,1,Summer,ALL
92.39381627,89.27008664,1.17,320,1,Summer,ALL
92.44396407,85.39016642,2.25,255,1,Summer,ALL
92.2045724,71.00085471,1.25,38,1,Summer,ALL
91.3349399,37.69738356,0.8,242,1,Summer,ALL
88.15839338,20.38040451,1.36,71,1,Summer,ALL
87.44029587,22.50595599,1.68,228,1,Summer,ALL
89.01620074,25.85870759,2.03,66,1,Summer,ALL
90.15626686,29.37081458,1.45,183,1,Summer,ALL
90.84855776,32.9780269,1.51,27,1,Summer,ALL
90.89819539,36.00318562,1.34,28,1,Summer,ALL
90.94784941,38.99908602,2.31,223,1,Summer,ALL
90.99751982,34.29362308,1.99,6,1,Fall,ALL
90.78400376,37.22774375,4.28,258,1,Fall,ALL
90.95530426,41.03491639,2.44,237,1,Fall,ALL
91.90179515,45.18834312,0.69,236,1,Fall,ALL
92.27188879,49.26409604,1.17,42,1,Fall,ALL
92.8388793,53.41550042,1.36,176,1,Fall,ALL
92.88917403,57.58443197,1.97,252,1,Fall,ALL
92.93948537,61.41837469,1.62,223,1,Fall,ALL
92.98981332,64.83521484,1.56,226,1,Fall,ALL
93.28405741,68.548274,3.99,130,1,Fall,ALL
93.7150076,72.11548541,2.29,24,1,Fall,ALL
94.16677996,75.49034274,1.84,249,1,Fall,ALL
93.66868411,78.40277321,1.45,262,1,Fall,ALL
93.7192528,81.60024479,1.14,306,1,Fall,ALL
94.63686119,85.4589406,1.25,225,1,Fall,ALL
94.68774953,89.28246907,2.55,325,1,Fall,ALL
94.73865466,92.50414598,1.82,164,1,Fall,ALL
94.10840655,95.21543505,2.22,240,1,Fall,ALL
93.70541817,97.7047779,3.41,355,1,Fall,ALL
94.63062969,100.6785684,0.5,176,1,Fall,ALL
94.59604003,103.2996977,1.86,331,1,Fall,ALL
