FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
89.0663421,7.938806599,1.62,1,1,Spring,All
90.83546982,6.534912141,5.33,14,1,Spring,All
90.88510313,7.800778514,5.17,215,1,Spring,All
90.93475282,8.771943274,0.99,245,1,Spring,All
90.56673229,7.988521435,4.96,33,1,Spring,All
90.61627688,9.106004252,1.84,212,1,Spring,All
90.66583782,10.75353915,3.39,222,1,Spring,All
92.05919298,13.40188042,2.81,268,1,Spring,All
92.45999464,15.77529362,3.09,215,1,Spring,All
92.4477755,17.45497183,2.68,300,1,Spring,All
91.84216454,18.53099126,7.3,9,1,Spring,All
91.5969695,19.63905809,3.87,59,1,Spring,All
91.48654562,20.65729459,2.05,260,1,Spring,All
91.31109218,11.0266037,1.73,71,1,Spring,All
90.98849496,12.24266017,3.63,233,1,Spring,All
91.03817879,13.60488874,2.06,53,1,Spring,All
91.60664151,15.64494306,3.39,263,1,Spring,All
91.91351993,17.84570027,1.16,17,1,Spring,All
91.96350916,11.45937371,2.46,219,1,Spring,All
92.01351489,13.14034409,2.1,242,1,Spring,All
92.06353713,14.92677203,1.73,45,1,Spring,All
92.11357588,16.18080226,1.86,217,1,Spring,All
92.16363116,17.44425876,5.5,46,1,Spring,All
92.21370296,19.17116066,2.09,68,1,Spring,All
92.32252453,21.37506241,1.95,302,1,Spring,All
92.79867456,24.28235988,5.83,200,1,Spring,All
93.3952458,27.6821376,1.66,241,1,Spring,All
93.44572422,31.14658073,2.72,212,1,Spring,All
93.79717746,34.17071036,2.38,331,2,Spring,All
93.95868274,37.18954979,0.68,94,2,Spring,All
94.00934718,40.02769778,2.27,226,2,Spring,All
94.06002834,42.6658968,2.29,259,2,Spring,All
93.62113042,35.43127991,2.48,153,2,Spring,All
92.47718781,36.60716596,2.48,245,1,Spring,All
91.95790498,37.77072299,2.14,231,1,Spring,All
91.18884219,36.72899063,2.56,246,1,Spring,All
89.0885808,20.69061617,7.6,34,1,Spring,All
88.18276264,21.88505062,2.33,219,1,Spring,All
87.94162539,23.10723351,2.14,261,1,Spring,All
87.75547972,24.30516158,2.59,279,1,Spring,All
