FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
89.55710921,8.237060972,2.45,109,1,Spring,All
91.38719428,10.48088682,5.35,211,1,Spring,All
91.8505036,12.41420885,1.77,255,1,Spring,All
92.53276056,14.91361509,2.59,239,1,Spring,All
92.85269396,17.54898166,2.29,294,1,Spring,All
91.70031289,18.49561431,4.98,238,1,Spring,All
91.59441892,19.89255582,2.53,276,1,Spring,All
91.77261707,21.61665816,2.27,73,1,Spring,All
92.14320282,23.67718184,4.94,240,1,Spring,All
92.19326788,24.8466911,3.11,13,1,Spring,All
91.9210467,11.3199195,5.27,253,1,Spring,All
91.40575377,12.07631868,6.13,233,1,Spring,All
91.45557535,13.26159671,1.41,244,1,Spring,All
92.03956435,10.70300285,1.62,99,1,Spring,All
92.23748684,12.63610698,2.66,241,1,Spring,All
91.73615368,14.06685026,2.66,259,1,Spring,All
91.78608435,15.60479723,3.6,238,1,Spring,All
91.8360315,17.42046545,2.16,15,1,Spring,All
91.88599515,19.16134923,3.95,299,1,Spring,All
91.93597528,21.1175695,4.12,235,1,Spring,All
91.98597192,23.26764985,4.08,297,1,Spring,All
92.03598507,25.84673644,1.79,292,1,Spring,All
92.50227822,28.34289715,2.79,267,1,Spring,All
92.78249919,30.54900494,5.49,276,1,Spring,All
92.83277531,31.42516594,3.43,234,1,Spring,All
92.39241056,32.18329957,1.86,246,1,Spring,All
90.81405197,30.92623145,2.53,240,1,Spring,All
90.4135258,32.25948538,3.13,210,1,Spring,All
90.4630198,33.70607537,0.37,207,1,Spring,All
90.74020057,35.55340095,3.8,246,1,Spring,All
91.36543051,37.85703667,2.37,314,1,Spring,All
91.97052944,40.47026576,3.97,245,1,Spring,All
92.50517174,43.5231387,2.46,217,1,Spring,All
92.86076375,46.92425124,4.02,216,1,Spring,All
93.07258538,50.44251231,2.54,270,1,Spring,All
93.12295728,53.60035441,1.49,310,1,Spring,All
93.23969352,56.40490624,1.99,262,1,Spring,All
93.35011884,58.93026708,1.93,254,1,Spring,All
93.02101623,60.70569154,2.85,287,1,Spring,All
92.96625541,62.12735189,1.81,60,1,Spring,All
92.8563249,63.64738995,2.1,253,1,Spring,All
92.92524113,66.25500372,5.2,243,2,Summer,All
93.27324969,69.53930986,1.97,44,2,Summer,All
93.32368783,73.15353765,1.3,298,2,Summer,All
93.37414262,75.69063194,3.17,223,2,Summer,All
93.42461407,78.14663458,4.36,231,2,Summer,All
94.08064179,81.44355736,2.03,271,2,Summer,All
94.96377314,85.79788537,3.26,233,2,Summer,All
95.01476941,90.43881744,2.91,236,2,Summer,All
95.06578251,95.12308985,2.55,249,2,Summer,All
94.15356025,59.3006035,1.45,224,2,Summer,All
93.62389536,45.70687117,4.97,243,1,Summer,All
93.20750499,43.4438268,5.32,259,1,Summer,All
93.25792142,47.10067012,1.92,225,1,Summer,All
93.09650052,48.72150764,2.35,259,1,Summer,All
93.71376905,52.54129587,2.46,267,1,Summer,All
94.5482422,56.66705059,3.28,243,2,Summer,All
95.49506159,60.94946242,2.47,240,2,Summer,All
95.55239353,64.78831268,2.18,41,2,Summer,All
95.60358413,68.43380095,2.59,258,2,Summer,All
95.65479163,72.1021129,1.34,276,2,Summer,All
95.69173175,75.78069771,2.12,214,2,Summer,All
95.74296836,79.57171162,2.76,299,2,Summer,All
95.79422188,83.42724059,1.7,231,2,Summer,All
95.8742137,87.41852276,2.66,67,2,Summer,All
96.02537916,91.55281723,3.2,86,3,Summer,All
96.11356904,95.77429122,2.4,274,3,Summer,All
96.18731127,100.1612873,2.36,260,3,Summer,All
96.23871149,105.1429691,1.28,205,3,Summer,All
96.03444994,109.4977035,4.19,203,3,Summer,All
95.26084753,113.4452943,3.48,331,3,Summer,All
95.20391228,117.5544158,2.89,204,3,Summer,All
95.23331421,121.6365342,1.23,242,3,Summer,All
95.28439947,125.8171928,4.71,24,3,Summer,All
95.33550159,129.9280195,2.55,279,3,Summer,All
95.38514365,134.0378011,0.09,241,3,Summer,All
95.43536189,138.3070353,5.27,256,3,Summer,All
94.83615334,142.3239593,2.33,201,3,Summer,All
94.22599937,128.9053137,2.29,146,2,Summer,All
94.27675206,133.4147051,2.14,253,3,Summer,All
