SpeciesCode,CWDThreshold,MortalityAboveThreshold,CWDThreshold2,MortalityAboveThreshold2,Intercept,BetaAge,BetaTemp,BetaSWAAnom,BetaBiomass,BetaCWD,BetaNormCWD,IntxnCWD_Biomass
AbieConc,0,0,0,0,0,0,0,0,0,0,0,0
AbieLasi,0,0,0,0,0,0,0,0,0,0,0,0
JuniOste,0,0,0,0,0,0,0,0,0,0,0,0
PiceEnge,0,0,0,0,0,0,0,0,0,0,0,0
PicePung,0,0,0,0,0,0,0,0,0,0,0,0
PinuPond,0,0,0,0,0,0,0,0,0,0,0,0
PinuEdul,0,0,0,0,0,0,0,0,0,0,0,0
PopuTrem,0,0,0,0,0,0,0,0,0,0,0,0
PseuMenz,0,0,0,0,0,0,0,0,0,0,0,0
QuerGamb,0,0,0,0,0,0,0,0,0,0,0,0
