Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,DroughtMort,
0, Clay3, 0, 34975, 0, 4318.6, 14449.1, 0, 0, 0, 0, 2.4, 407.6, 0, 0, 0, 6791.1, 5911.2, 238.7, 238.7, 20.3, 3.6, 0, 0, 2129.5, 65.7, 1532.3, 591, 0, 0, 24.1, 31.2, 1.2, 1.2, 0.1, 0.4, 0, 0, 213, 6.6, 61.3, 66.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 349.9, 0, 0, 0, 
0, Clay2, 1, 89356, 0, 3942.7, 10454.9, 0, 0, 0, 0, 2.4, 365.5, 0, 0, 0, 4913.8, 4502.2, 174.7, 174.7, 14.8, 2.6, 0, 0, 1949.3, 59.8, 1395.4, 538.2, 0, 0, 19.6, 24.5, 0.9, 0.9, 0.1, 0.3, 0, 0, 194.9, 6, 55.8, 60.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 319.7, 0, 0, 0, 
0, Clay1, 2, 10490, 0, 4147.6, 11279.2, 0, 0, 0, 0, 2.4, 392.8, 0, 0, 0, 5301.2, 4809.9, 128.6, 128.6, 10.9, 1.9, 0, 0, 2080.5, 62, 1446.9, 558.1, 0, 0, 25, 29.2, 0.6, 0.6, 0.1, 0.2, 0, 0, 208.1, 6.2, 57.9, 62.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 337.3, 0, 0, 0, 
0, ClayLoam3, 3, 35439, 0, 4497.1, 15941.3, 0, 0, 0, 0, 2.4, 427.2, 0, 0, 0, 7492.4, 6615.3, 258.4, 258.4, 22, 3.9, 0, 0, 2188, 69.3, 1616.4, 623.5, 0, 0, 26.3, 35.3, 1.3, 1.3, 0.1, 0.4, 0, 0, 218.8, 6.9, 64.7, 69.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 363.1, 0, 0, 0, 
0, ClayLoam2, 4, 67166, 0, 3554.9, 8927.6, 0, 0, 0, 0, 2.4, 327.3, 0, 0, 0, 4196, 3845.9, 170.5, 170.5, 14.5, 2.6, 0, 0, 1751.3, 54.1, 1262.5, 487, 0, 0, 16.1, 21.2, 0.9, 0.9, 0.1, 0.3, 0, 0, 175.1, 5.4, 50.5, 54.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 288.3, 0, 0, 0, 
0, ClayLoam1, 5, 4459, 0, 3707, 12293.4, 0, 0, 0, 0, 2.4, 368.7, 0, 0, 0, 5777.9, 5433.5, 72, 72, 6.1, 1.1, 0, 0, 1857, 55.5, 1295, 499.5, 0, 0, 32.3, 34.1, 0.4, 0.4, 0, 0.1, 0, 0, 185.7, 5.6, 51.8, 55.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 301.5, 0, 0, 0, 
0, ClayLoam4, 6, 1586, 0, 6034.3, 20639.5, 0, 0, 0, 0, 2.4, 557.9, 0, 0, 0, 9700.6, 8879.6, 309.8, 309.8, 26.3, 4.6, 0, 0, 2664.3, 101.1, 2359, 909.9, 0, 0, 31.3, 47.6, 1.5, 1.5, 0.1, 0.5, 0, 0, 266.4, 10.1, 94.4, 101.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 475.8, 0, 0, 0, 
0, Sands3, 7, 22943, 0, 5088.9, 18019.6, 0, 0, 0, 0, 2.4, 482.4, 0, 0, 0, 8469.2, 7721.4, 278.9, 278.9, 23.7, 4.2, 0, 0, 2394.6, 80.8, 1886, 727.5, 0, 0, 29.8, 42.5, 1.4, 1.4, 0.1, 0.4, 0, 0, 239.5, 8.1, 75.4, 81.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 407.4, 0, 0, 0, 
0, Sands2, 8, 21735, 0, 3894.8, 10424.9, 0, 0, 0, 0, 2.4, 361, 0, 0, 0, 4899.7, 4560.6, 204.4, 204.4, 17.4, 3.1, 0, 0, 1888.3, 60.2, 1404.5, 541.8, 0, 0, 18.8, 25.7, 1, 1, 0.1, 0.3, 0, 0, 188.8, 6, 56.2, 60.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 314.5, 0, 0, 0, 
0, Sands1, 9, 27903, 0, 3524.8, 8562.7, 0, 0, 0, 0, 2.4, 331.2, 0, 0, 0, 4024.5, 3882, 59.6, 59.6, 5.1, 0.9, 0, 0, 1779.3, 52.4, 1221.9, 471.3, 0, 0, 19.3, 23.9, 0.3, 0.3, 0, 0.1, 0, 0, 177.9, 5.2, 48.9, 52.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 287.3, 0, 0, 0, 
0, Sands4, 10, 7168, 0, 6525.5, 25033.2, 0, 0, 0, 0, 2.4, 618.8, 0, 0, 0, 11765.6, 10574.8, 301.9, 301.9, 25.7, 4.5, 0, 0, 3030.7, 104.8, 2446.3, 943.6, 0, 0, 37.4, 58.2, 1.5, 1.5, 0.1, 0.5, 0, 0, 303.1, 10.5, 97.9, 105.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 520.1, 0, 0, 0, 
0, Shallow3, 11, 25924, 0, 4365.2, 14362.5, 0, 0, 0, 0, 2.4, 410.7, 0, 0, 0, 6750.4, 5855.7, 243.9, 243.9, 20.7, 3.7, 0, 0, 2144.5, 66.6, 1554.5, 599.6, 0, 0, 24.2, 30.8, 1.2, 1.2, 0.1, 0.4, 0, 0, 214.5, 6.7, 62.2, 67.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 353.3, 0, 0, 0, 
0, Shallow2, 12, 26415, 0, 3867.5, 10673.6, 0, 0, 0, 0, 2.4, 358.8, 0, 0, 0, 5016.6, 4542.8, 167.5, 167.5, 14.2, 2.5, 0, 0, 1902, 59, 1375.9, 530.7, 0, 0, 19.5, 24.4, 0.8, 0.8, 0.1, 0.3, 0, 0, 190.2, 5.9, 55, 59.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 313.3, 0, 0, 0, 
0, Shallow1, 13, 10612, 0, 4284.3, 11756.1, 0, 0, 0, 0, 2.4, 408, 0, 0, 0, 5525.4, 5006.7, 127.5, 127.5, 10.8, 1.9, 0, 0, 2167.7, 63.5, 1481.6, 571.5, 0, 0, 26.3, 31.4, 0.6, 0.6, 0.1, 0.2, 0, 0, 216.8, 6.3, 59.3, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 349, 0, 0, 0, 
1, Clay3, 0, 34975, 20.5, 4341.7, 11544.4, 1.5, 1.5, 0, 222.9, 1.72, 406, 0.3, 0.3, 0.3, 5427.4, 5142.4, 1564.5, 733.9, 20, 3.5, 0, 0, 2147, 69.5, 1534.1, 591, 0, 0, 21, 28.5, 4.2, 3.1, 0.1, 0.4, 0, 0, 212.8, 6.7, 61.2, 66.2, 0, 0, 0, 0, 0.2, 0, 0, 0, 1.91, 0, 0, 0, 0, 0, 0, 349.1, 2.75, 0, 153.5, 
1, Clay2, 1, 89356, 9.7, 3953.5, 9003.9, 1.7, 1.7, 0, 152.6, 1.56, 364.2, 0.2, 0.3, 0.3, 4233.2, 4077, 836.9, 485.4, 14.7, 2.6, 0, 0, 1957.5, 62.3, 1395.5, 538.2, 0, 0, 17.7, 22.8, 2.7, 2.2, 0.1, 0.3, 0, 0, 194.8, 6.1, 55.8, 60.3, 0, 0, 0, 0, 0.1, 0, 0, 0, 1.65, 0, 0, 0, 0, 0, 0, 318.8, 2.61, 0, 134.1, 
1, Clay1, 2, 10490, 7.8, 4156.3, 9802.1, 2, 2, 0, 182.3, 1.3, 391.2, 0.2, 0.3, 0.3, 4609.2, 4363, 805.7, 474.3, 10.8, 1.9, 0, 0, 2086.9, 64.4, 1447, 558.1, 0, 0, 22.7, 27.1, 2.9, 2.5, 0.1, 0.2, 0, 0, 207.9, 6.3, 57.8, 62.5, 0, 0, 0, 0, 0.1, 0, 0, 0, 1.08, 0, 0, 0, 0, 0, 0, 336.1, 2.31, 0, 245.4, 
