FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
88.97819192,8.167832353,1.62,1,1,Spring,All
91.66673498,10.33048291,5.33,14,1,Spring,All
92.20299725,12.4125626,5.17,215,1,Spring,All
92.62613573,15.48606744,0.99,245,1,Spring,All
94.07422069,18.83269037,4.96,33,1,Spring,All
94.48957232,22.04853106,1.84,212,1,Spring,All
94.54041203,24.64205529,3.39,222,1,Spring,All
93.8193785,26.09161303,2.81,268,1,Spring,All
92.5514016,22.31549793,3.09,215,1,Spring,All
91.92262475,14.2121683,2.68,300,1,Spring,All
91.97261698,16.47280222,7.3,9,1,Spring,All
92.02262571,18.7430752,3.87,59,1,Spring,All
92.46458296,21.41977558,2.05,260,1,Spring,All
93.90884803,24.47749875,1.73,71,1,Spring,All
94.45034132,27.4778314,3.63,233,1,Spring,All
93.55673555,16.97468817,2.06,53,1,Spring,All
92.78770626,19.10781621,3.39,263,1,Spring,All
92.8379841,21.36299819,1.16,17,1,Spring,All
92.82791214,22.73182548,2.46,219,1,Spring,All
92.87820325,24.10942409,2.1,242,1,Spring,All
92.87125695,22.15139191,1.73,45,1,Spring,All
92.79052829,24.26798289,1.86,217,1,Spring,All
92.33004251,26.22161142,5.5,46,1,Spring,All
92.34940654,28.43683741,2.09,68,1,Spring,All
92.39953968,30.88379118,1.95,302,1,Spring,All
92.44968936,33.72601744,5.83,200,1,Spring,All
92.64947379,37.09877655,1.66,241,1,Spring,All
92.69970599,34.90806616,2.72,212,1,Spring,All
92.70328027,33.61514358,2.38,331,1,Spring,All
92.99315404,31.68956596,0.68,94,1,Spring,All
93.12123836,34.05246815,2.27,226,1,Spring,All
93.37812829,36.52245411,2.29,259,1,Spring,All
93.73701709,38.91810523,2.48,153,1,Spring,All
93.78760834,40.44171017,2.48,245,1,Spring,All
93.54334275,41.98015215,2.14,231,1,Spring,All
93.47925895,43.85891174,2.56,246,1,Spring,All
94.27855568,47.70750891,7.6,34,1,Spring,All
95.39107956,51.73488916,2.33,219,1,Spring,All
96.14734972,56.68439189,2.14,261,1,Spring,All
96.19873675,60.69973765,2.59,279,2,Spring,All
96.25014074,64.82247143,5.07,166,2,Spring,All
96.50490915,69.51634697,3.84,236,2,Summer,All
96.74540113,74.3905915,1.82,76,2,Summer,All
96.81972261,79.24066649,3.19,185,2,Summer,All
97.24916283,84.14495266,1.88,32,2,Summer,All
97.6388194,89.98715529,2.35,228,2,Summer,All
97.69069884,95.30539747,5.42,260,3,Summer,All
97.7425954,100.7613113,1.62,235,2,Summer,All
97.7945091,106.1829852,1.94,209,3,Summer,All
97.809445,111.326688,1.49,281,3,Summer,All
97.86138077,116.443283,1.94,243,3,Summer,All
97.93103267,120.963535,1.92,209,3,Summer,All
98.40508253,126.3680494,4.12,45,3,Summer,All
98.45721495,131.377366,5.1,267,4,Summer,All
98.70338314,136.8936352,9.22,254,5,Summer,All
98.6734852,141.7994625,2.37,329,4,Summer,All
98.68197778,146.1061411,1.92,215,3,Summer,All
98.5511889,149.6996356,1.68,203,3,Summer,All
98.23978479,152.7111635,3.17,358,4,Summer,All
97.94586757,155.7976421,3.91,295,4,Summer,All
97.68515495,159.697693,5.36,48,4,Summer,All
97.73704968,164.1699721,1.81,240,3,Summer,All
97.84574155,168.9867028,3.35,211,4,Summer,All
97.8976893,174.0847166,2.66,208,3,Summer,All
97.9496542,179.4015713,1.38,192,3,Summer,All
98.00163626,184.3050246,1.1,262,3,Summer,All
98.05363548,189.3763359,0,318,3,Summer,All
98.10565187,194.1754302,2.91,167,4,Summer,All
98.15768543,198.5824439,4.66,265,4,Summer,All
98.15085491,202.785497,2.31,28,4,Summer,All
97.51033558,206.270892,2.18,242,3,Summer,All
96.42496928,208.758979,1.84,190,3,Summer,All
95.92337103,211.7033385,4.68,259,3,Summer,All
95.89841406,215.0956496,0.51,200,3,Summer,All
95.9497189,219.2309724,2.12,237,3,Summer,All
96.00104068,223.7828769,1.09,274,3,Summer,All
96.22944813,229.0352856,2.48,218,3,Summer,All
96.28086226,233.846264,1.99,273,3,Summer,All
96.37161546,239.0019624,2.48,232,3,Summer,All
96.42307653,243.7735595,0.75,230,3,Summer,All
96.8176612,248.753142,2.94,251,3,Summer,All
96.86926953,253.4268465,2.09,298,3,Summer,All
96.9208949,258.3623313,1.49,220,3,Summer,All
96.98338439,263.7955001,2.81,256,3,Summer,All
97.03504743,269.3583029,0.6,202,3,Summer,All
97.08672753,274.9379956,2.92,245,3,Summer,All
97.13842469,279.9900062,4.9,188,4,Summer,All
96.82251758,149.923522,1.66,251,3,Summer,All
96.0991162,107.3314731,1.92,240,2,Summer,All
95.48778052,89.94337077,1.6,229,2,Summer,All
95.53894979,82.54178723,1.79,267,2,Summer,All
95.59013595,88.23194257,2.12,216,2,Summer,All
