FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
89.66185025,7.611916831,1.73,60,1,Spring,All
92.15633226,9.953145546,1.66,232,1,Spring,All
93.19831399,12.48561077,2.83,48,1,Spring,All
93.00004404,9.539168555,3.6,11,1,Spring,All
90.57201422,6.739133589,2.83,241,1,Spring,All
90.62156055,8.002156135,2.55,223,1,Spring,All
91.11623237,9.767524936,3.32,15,1,Spring,All
91.84273094,11.77002129,3.15,44,1,Spring,All
92.1623913,13.67402805,1.86,231,1,Spring,All
89.8639572,6.99028256,3.46,99,1,Spring,All
88.59007263,3.177821724,2.29,248,1,Spring,All
90.03783096,3.480866925,2.42,240,1,Spring,All
90.30297163,4.736770727,1.02,234,1,Spring,All
90.35242913,5.742901047,2.05,202,1,Spring,All
90.69097688,6.71274997,2.68,215,1,Spring,All
91.33386794,8.237895392,3.02,192,1,Spring,All
91.78436286,10.02488547,2.09,204,1,Spring,All
92.44262934,12.52253913,3.11,222,1,Spring,All
93.33506458,15.21068084,1.38,37,1,Spring,All
93.65787107,17.94740527,2.66,268,1,Spring,All
93.70843619,20.23148669,4.17,292,1,Spring,All
93.75901801,22.32284617,1.06,188,1,Spring,All
93.80961653,24.30209546,3.52,275,1,Spring,All
93.86023175,26.62773695,2.23,216,1,Spring,All
93.91086368,28.90665864,3.5,173,1,Spring,All
93.96151233,31.49647591,1.99,257,1,Spring,All
93.9890825,34.11511019,2.64,233,1,Spring,All
93.83063504,36.91979532,2.33,16,1,Spring,All
93.69131767,38.99841409,3.84,259,1,Spring,All
93.58072811,41.15568276,2.5,246,1,Spring,All
93.2862428,43.09637286,1.81,244,1,Spring,All
92.93232246,43.74426244,2.12,211,1,Spring,All
92.65331051,44.61123669,3.43,335,1,Spring,All
92.5929295,46.18547672,2.66,103,1,Spring,All
92.59099083,47.93880689,4.6,33,1,Spring,All
92.64120372,50.12510412,3.32,158,1,Spring,All
92.80793756,53.15993237,1.68,233,1,Spring,All
94.30605007,57.14315174,2.48,45,1,Spring,All
94.82597877,61.10406383,2.35,48,1,Spring,All
94.87692954,64.15503204,2.07,228,1,Spring,All
94.92789714,66.48741145,5.39,276,2,Spring,All
94.67506653,69.15636595,2.18,261,2,Summer,All
94.72596748,72.57259956,1.88,337,2,Summer,All
94.77688523,76.30383283,2.16,260,2,Summer,All
94.87757594,80.38782346,2.52,251,2,Summer,All
94.90065372,84.28101626,1.77,3,2,Summer,All
94.55941109,87.89058891,5.27,242,2,Summer,All
94.35091245,91.2752856,3.17,292,2,Summer,All
94.40170638,94.43953174,1.88,100,2,Summer,All
94.45251708,97.72605598,4.42,250,2,Summer,All
94.50334456,101.2070457,2.4,267,2,Summer,All
95.24571922,104.9015119,2.77,2,2,Summer,All
96.47496995,109.0864387,2.27,288,3,Summer,All
96.97988444,113.675053,2.35,247,3,Summer,All
97.73004131,118.8792446,3.97,218,4,Summer,All
97.88683484,124.0679941,3.07,26,4,Summer,All
97.91980463,128.6753999,3.87,273,4,Summer,All
97.54167672,132.7302189,3.37,339,4,Summer,All
97.28746506,136.9089262,2.01,240,4,Summer,All
97.17813705,140.9998048,1.87,236,4,Summer,All
97.0746588,144.7888575,2.22,45,4,Summer,All
97.03035421,148.4040641,4.96,242,4,Summer,All
97.08203276,152.3803176,3.32,100,4,Summer,All
97.13372837,156.6113514,1.94,222,4,Summer,All
97.18544105,161.2488692,2.53,271,4,Summer,All
97.32629797,166.1708161,2.35,286,4,Summer,All
97.41485982,171.3051283,2.57,270,4,Summer,All
97.46666531,176.640393,1.73,337,4,Summer,All
97.33552822,181.7685367,3.15,288,5,Summer,All
97.23708202,186.8622787,2.25,224,4,Summer,All
97.06532725,191.6705256,2.8,97,4,Summer,All
95.90952646,196.1210491,4.84,299,4,Summer,All
95.96083496,200.8466033,2.5,233,4,Summer,All
96.01216041,205.6933691,2.33,62,4,Summer,All
96.07562183,210.7830812,1.45,234,3,Summer,All
96.16489114,216.0652809,1.73,231,4,Summer,All
96.23775829,221.5471477,5.95,238,5,Summer,All
96.28917516,119.2147816,2.12,268,3,Summer,All
95.31749802,122.9767751,1.34,280,2,Summer,All
95.36861107,127.0128838,3.95,91,3,Summer,All
95.53780311,131.206375,2.07,236,3,Summer,All
96.12781031,135.3438939,2.23,251,3,Summer,All
96.27466968,139.3822663,2.55,237,3,Summer,All
96.30822008,143.0452966,3.13,277,3,Summer,All
96.10146073,146.5470239,3.3,271,3,Summer,All
96.07343197,150.1640845,5.12,306,4,Summer,All
96.02073533,153.7787253,3.09,224,3,Summer,All
96.18204307,157.9969023,2.42,257,3,Summer,All
96.66473369,162.3365332,0.91,203,3,Summer,All
96.77059313,166.7661554,3.51,221,4,Summer,All
96.82218592,171.2506268,2.18,187,4,Summer,All
96.65135184,175.5687077,1.92,190,4,Summer,All
96.02420664,123.9201391,1.04,261,3,Summer,All
95.07066768,109.9069152,1.77,210,2,Summer,All
94.79202333,114.1056706,2.09,258,2,Summer,All
94.69818299,118.3573809,1.17,72,2,Summer,All
93.88305103,99.56481294,2.53,9,2,Summer,All
93.9336905,100.1306058,1.32,245,2,Summer,All
94.27603442,91.91417287,2.1,294,2,Summer,All
94.32680363,97.20064817,0.86,246,2,Summer,All
95.40418357,92.57225816,1.27,242,2,Summer,All
95.45532524,97.89846683,1.81,261,2,Summer,All
94.70962981,102.5392136,2.21,237,2,Summer,All
94.05288372,106.634269,2.07,239,2,Summer,All
93.6689348,110.5683522,1.08,248,2,Summer,All
93.23063196,114.2613909,0.89,284,2,Summer,All
93.28105603,118.2304633,2.09,244,2,Summer,All
93.53156528,122.6296264,1.01,224,2,Summer,All
94.99099714,127.6971738,5.23,229,3,Summer,All
95.10326419,130.147121,1.42,225,2,Summer,All
94.34741821,88.43145979,1.86,62,2,Summer,All
93.48904742,65.95289877,0.84,267,1,Summer,All
93.0114285,47.49964402,1.4,211,1,Summer,All
92.79874806,39.27187536,1.1,199,1,Summer,All
93.34344017,30.3478585,0.88,273,1,Summer,All
94.28926022,30.03779394,2.68,243,1,Summer,All
94.96348381,37.92730341,2.16,211,1,Summer,All
95.01447998,45.1805209,2.46,258,1,Summer,All
95.06549299,50.9490715,2.52,40,1,Summer,All
94.9968562,56.60545206,2.79,41,1,Summer,All
95.0468374,62.15866297,0.65,36,1,Summer,All
95.09786109,67.64244372,0.45,182,1,Summer,All
95.14890163,72.87099442,2.83,262,2,Summer,All
95.19995902,77.7211384,1.6,238,2,Summer,All
95.21492578,82.28440882,2.28,39,2,Summer,All
95.23892759,86.75007317,1.73,230,2,Summer,All
94.80232705,91.00671801,1.43,242,2,Summer,All
94.85327002,96.11156157,1.23,247,2,Summer,All
94.9042298,61.90280167,1.58,220,1,Summer,All
93.88856238,53.14743769,1.21,260,1,Summer,All
93.29540376,48.28536497,1.4,224,1,Summer,All
93.06316773,38.34711528,2.22,43,1,Summer,All
92.83441331,35.99149127,1.49,319,1,Summer,All
92.79885207,29.09272754,1.47,258,1,Summer,All
92.57923117,20.04217522,1.45,211,1,Summer,All
91.77973866,13.98638191,1.9,248,1,Summer,All
91.36484591,10.77446656,2.59,250,1,Summer,All
91.14608812,9.094844161,2.7,215,1,Summer,All
91.19582397,13.62429227,1.79,249,1,Summer,All
91.24557625,18.33120665,1.27,248,1,Summer,All
91.90154411,23.3950688,2.01,348,1,Summer,All
92.34743489,28.7222448,1.49,41,1,Summer,All
92.66123876,27.74540729,1.47,135,1,Summer,All
93.67898005,28.28739176,1.53,39,1,Summer,All
93.98658204,34.08086114,2.14,212,1,Summer,All
94.03725569,35.31791737,2.44,338,1,Summer,All
94.4386639,40.66576307,1.06,252,1,Summer,All
94.73731548,45.94728177,3.4,66,1,Summer,All
94.78823698,51.32540197,1.97,34,1,Summer,All
94.83917529,55.78368621,1.62,38,1,Summer,All
94.62118914,59.75366008,0.63,263,1,Summer,All
94.42240771,63.56996541,2.38,46,1,Summer,All
94.13708625,67.07582502,1.68,29,1,Summer,All
93.7130429,70.53105778,1.53,267,1,Summer,All
93.51900481,73.94456937,0.47,37,1,Summer,All
93.34981511,75.95626789,1.3,232,1,Summer,All
92.88344158,66.67794333,1.55,24,1,Summer,All
92.55340591,50.66729518,0.61,53,1,Summer,All
92.35865391,48.65457058,1.86,258,1,Summer,All
92.25761723,48.50526304,0.93,281,1,Summer,All
91.66751131,42.18650223,1.19,321,1,Summer,All
91.71741931,45.55398072,5.83,24,1,Summer,All
91.85946042,49.39908213,1.08,354,1,Fall,All
92.56164984,53.60501222,0.75,56,1,Fall,All
92.61185304,57.4933225,1.4,224,1,Fall,All
92.66207282,61.20684829,1.23,211,1,Fall,All
92.71230918,64.69779863,6.59,27,1,Fall,All
92.57079766,63.19565886,0.99,87,1,Fall,All
92.18563872,66.27224532,2.03,29,1,Fall,All
92.05210091,69.42292308,1.3,236,1,Fall,All
92.10213589,72.96614919,0.95,245,1,Fall,All
92.69678601,76.79342563,1.27,175,1,Fall,All
92.74703383,80.3476552,1.75,202,1,Fall,All
92.79729824,83.63832252,1.96,247,1,Fall,All
92.84757925,86.67708017,0.45,212,1,Fall,All
92.89787686,89.66387258,2.48,326,1,Fall,All
92.94819107,92.88893044,0.17,221,1,Fall,All
92.99852189,96.05699022,1.55,168,1,Fall,All
93.07601325,99.52675242,1.68,5,2,Fall,All
93.12638627,82.16414578,1.27,302,1,Fall,All
93.17677593,84.77937829,1.36,232,1,Fall,All
93.22718222,87.40535133,1.62,357,1,Fall,All
93.66826453,90.15117598,1.38,57,2,Fall,All
94.31085566,92.98911152,2.14,228,2,Fall,All
95.011513,95.78803516,2.03,327,2,Fall,All
95.06252503,98.21065173,1.77,58,2,Fall,All
95.40174969,100.8551845,0.82,264,2,Fall,All
95.55196407,103.5610084,3.43,265,2,Fall,All
95.27418422,105.8331462,1.55,232,2,Fall,All
