FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
90.25804579,7.238002729,1.73,287,1,Spring,All
91.87733622,8.37694191,2.07,45,1,Spring,All
92.74356615,10.17727661,4.73,232,1,Spring,All
92.24407465,12.10569469,1.58,252,1,Spring,All
89.85893611,6.047733797,6.12,73,1,Spring,All
89.90824702,8.136954626,3.11,239,1,Spring,All
90.0240335,9.242030422,2.18,192,1,Spring,All
90.89642132,10.50144954,2.05,112,1,Spring,All
91.75228672,12.53572097,2.52,66,1,Spring,All
91.93574511,14.44729844,1.42,230,1,Spring,All
91.98574168,15.37009887,1.51,221,1,Spring,All
92.03575475,17.25184061,3.37,226,1,Spring,All
92.08578433,18.99808952,2.18,280,1,Spring,All
92.13583043,20.80123291,1.88,337,1,Spring,All
92.57727591,22.89427936,2.18,160,1,Spring,All
93.77831739,25.3277474,1.16,280,1,Spring,All
94.61749556,27.68257649,0.72,66,1,Spring,All
95.23772351,30.17808775,5.55,215,1,Spring,All
95.34757528,32.77428804,1.73,229,1,Spring,All
95.89248415,35.70601134,0.93,264,1,Spring,All
96.32301097,39.01761119,1.75,240,1,Spring,All
97.06667985,41.61949997,3.71,49,1,Spring,All
97.508307,44.13883523,4.04,216,2,Spring,All
97.57565946,46.00377648,6.13,40,2,Spring,All
97.67804301,48.96476522,3.66,236,2,Spring,All
97.46377822,51.10794465,4.25,239,2,Spring,All
97.49467781,53.22808248,1.86,90,2,Spring,All
97.54650966,56.12328018,2.65,272,2,Spring,All
96.46662056,58.55729622,4.45,85,2,Spring,All
96.03777119,61.29321134,1.36,196,2,Spring,All
95.21433556,63.26402012,2.18,355,1,Spring,All
95.0165145,65.3629966,4.08,285,2,Spring,All
96.22485733,67.37728472,2.42,228,2,Spring,All
96.75335092,65.62005326,1.77,244,2,Spring,All
96.51924858,38.9776121,2.8,218,1,Spring,All
91.90646541,24.68774854,4.42,267,1,Spring,All
87.94940594,15.28644913,3.33,59,1,Spring,All
86.89170924,11.25988661,2.81,273,1,Spring,All
89.61306196,13.51751341,2.14,268,1,Spring,All
90.29797905,15.33814663,1.88,30,1,Spring,All
90.96419662,17.37274736,2.37,196,1,Spring,All
92.08959004,20.0274502,3.17,336,1,Summer,All
94.02022868,23.21328076,3.61,241,1,Summer,All
96.16286502,26.49836811,4.62,222,1,Summer,All
97.46176548,29.73927763,2.45,211,1,Summer,All
97.53964715,32.64783348,2.42,227,1,Summer,All
97.3643433,35.13346302,2.25,206,1,Summer,All
97.29116181,37.70277667,2.37,236,1,Summer,All
97.34292647,40.49890105,2.18,236,1,Summer,All
97.39470821,43.95993159,3.91,325,2,Summer,All
97.44650706,47.63498032,1.88,214,2,Summer,All
97.44482682,51.48295167,2.55,243,2,Summer,All
97.36296344,55.49633645,2.14,31,2,Summer,All
97.39075868,59.97425153,1.86,257,2,Summer,All
97.44255622,65.2080994,2.92,210,2,Summer,All
97.49384133,69.41471472,2.38,189,2,Summer,All
96.80209375,73.10501628,1.77,249,2,Summer,All
96.2597931,76.20150231,2.53,242,2,Summer,All
95.86185932,79.4152161,1.7,272,2,Summer,All
95.65621771,82.74177945,1.75,260,2,Summer,All
95.614144,86.64675573,4.54,282,2,Summer,All
95.66535499,90.5799312,1.45,257,2,Summer,All
95.89483194,94.62181817,6.5,274,3,Summer,All
95.94613559,98.36333551,2.23,242,2,Summer,All
95.95493793,101.8483344,7.06,277,3,Summer,All
95.6676258,104.9614604,1.34,270,2,Summer,All
95.56361208,108.3635156,2.81,256,2,Summer,All
95.59996991,111.4355465,1.68,39,2,Summer,All
95.73368679,115.7052705,5.89,263,3,Summer,All
95.78493724,120.2785033,1.42,238,2,Summer,All
95.83620462,124.8398015,1.96,226,3,Summer,All
94.62322138,128.6588225,4.2,250,3,Summer,All
94.40420988,132.6246298,2.03,242,2,Summer,All
94.4550214,137.0955583,1.88,278,2,Summer,All
94.52824027,141.606518,3,274,2,Summer,All
95.1565236,146.8610939,1.94,213,3,Summer,All
95.4954767,152.1630165,1.9,355,3,Summer,All
95.54664851,156.9701935,1.49,190,3,Summer,All
95.59783722,161.5486008,3.13,224,3,Summer,All
95.63812551,166.393511,2.72,255,3,Summer,All
95.16560924,171.0619091,1.85,170,3,Summer,All
94.98218215,175.7408112,2.79,345,3,Summer,All
95.03318449,180.2707986,6,337,4,Summer,All
96.85569062,185.5066693,3.45,255,4,Summer,All
98.0676088,190.8079445,1.75,346,5,Summer,All
98.11962981,196.2631369,2.12,276,5,Summer,All
