FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
87.54738686,7.411806211,0.56,275,1,Spring,ALL
89.64638808,8.77936223,1.88,61,1,Spring,ALL
90.63238372,10.54514812,4.58,293,1,Spring,ALL
91.41172837,12.80337678,2.07,251,1,Spring,ALL
92.54419774,15.47316782,2.44,242,1,Spring,ALL
92.59439519,18.06645993,1.34,213,1,Spring,ALL
93.66878707,20.64662977,4.4,242,1,Spring,ALL
93.7193558,23.076167,3.22,241,1,Spring,ALL
93.76994122,25.7173257,3.02,244,1,Spring,ALL
93.75751937,28.30154841,3.56,220,1,Spring,ALL
93.29535747,30.82174349,3.91,234,1,Spring,ALL
93.34580291,33.59596471,2.98,53,1,Spring,ALL
92.53165757,35.75573686,3.19,239,1,Spring,ALL
92.06122302,36.94367073,3.26,208,1,Spring,ALL
92.11126101,38.44547488,1.36,24,1,Spring,ALL
92.23119895,40.59645203,1.82,228,1,Spring,ALL
93.31876266,43.24913588,0.54,250,1,Spring,ALL
94.13523279,46.27142459,3.09,266,2,Spring,ALL
94.18595552,48.86307053,4.98,353,2,Spring,ALL
93.38010638,50.9750528,1.84,158,2,Spring,ALL
92.84477313,53.34201123,2.35,228,1,Spring,ALL
93.58926263,56.8100473,2.03,133,2,Spring,ALL
94.18589744,60.60882306,2.55,245,2,Spring,ALL
95.27285355,64.64062497,2.59,255,2,Spring,ALL
95.32395186,67.94313011,1.45,236,2,Spring,ALL
95.37506704,71.16148189,2.46,224,2,Spring,ALL
95.49436157,75.22112952,5.38,254,3,Spring,ALL
95.54553301,79.32161507,4.56,232,3,Spring,ALL
95.99898683,83.3815229,2.16,33,3,Spring,ALL
96.45345423,87.74283752,2.35,239,3,Spring,ALL
96.50494231,92.3586357,2.05,286,3,Spring,ALL
95.28584345,96.39781174,3.19,229,3,Spring,ALL
94.81046386,100.2049716,3.07,233,3,Spring,ALL
94.86140952,104.0996323,4.6,235,3,Spring,ALL
94.65003589,107.964622,3.35,233,3,Spring,ALL
94.70092858,111.9382562,2.46,226,3,Spring,ALL
94.92141648,115.9751599,3.76,220,3,Spring,ALL
94.97239876,119.7086702,2.44,226,3,Spring,ALL
94.82791027,122.59715,2.03,68,3,Spring,ALL
94.23275868,124.326482,2.89,302,3,Spring,ALL
94.20921452,126.5946956,3,301,3,Spring,ALL
94.25996167,129.6393532,6.39,34,4,Summer,ALL
94.28846904,132.6414262,2.14,227,3,Summer,ALL
94.4346015,135.4848297,2.55,295,3,Summer,ALL
94.48542306,138.399848,1.75,230,3,Summer,ALL
94.5362614,141.8150258,4.64,247,4,Summer,ALL
95.29843585,146.0917533,2.4,241,4,Summer,ALL
96.87006864,151.232337,2.18,216,5,Summer,ALL
96.5151293,155.6143685,2.18,243,5,Summer,ALL
96.56663774,160.1756235,1.62,197,4,Summer,ALL
96.40183805,98.53085458,4.38,251,4,Summer,ALL
95.67093317,102.2572026,4.81,184,4,Summer,ALL
95.72216291,106.4324544,4.19,35,4,Summer,ALL
95.52224813,111.1254147,5.36,190,4,Summer,ALL
95.1474704,99.47234072,1.27,273,3,Summer,ALL
95.19852732,103.9921957,1.43,88,3,Summer,ALL
95.12720975,107.9440444,2.25,40,3,Summer,ALL
94.95332355,111.9049853,2.1,231,3,Summer,ALL
95.00431637,116.9194159,2.53,246,3,Summer,ALL
95.44050674,122.4996593,1.73,229,3,Summer,ALL
95.90806956,128.4070832,3.3,229,4,Summer,ALL
95.95937759,133.8869879,5.22,62,5,Summer,ALL
95.99735835,138.8038643,3.37,232,4,Summer,ALL
