FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
88.05478744,3.602883208,2.45,109,1,Spring,All
87.99566347,2.520497092,5.35,211,1,Spring,All
87.99248703,2.20855667,1.77,255,1,Spring,All
87.90574123,1.234344259,2.59,239,1,Spring,All
88.09606276,2.37592799,2.29,294,1,Spring,All
88.57681133,3.470493211,4.98,238,1,Spring,All
89.69386209,4.771054234,2.53,276,1,Spring,All
90.38737681,3.456830961,2.27,73,1,Spring,All
91.01479871,5.910683244,4.94,240,1,Spring,All
91.06449123,7.794415512,3.11,13,1,Spring,All
91.11420015,9.009012026,5.27,253,1,Spring,All
91.5698094,10.63981461,6.13,233,1,Spring,All
91.61968515,12.18114406,1.41,244,1,Spring,All
91.66957737,13.76304229,1.62,99,1,Spring,All
91.71948606,15.44920899,2.66,241,1,Spring,All
91.9089978,17.6872501,2.66,259,1,Spring,All
92.60615715,20.43915319,3.6,238,1,Spring,All
92.65637505,23.07041061,2.16,15,1,Spring,All
92.70660953,25.4585648,3.95,299,1,Spring,All
92.56905536,27.61136369,4.12,235,1,Spring,All
92.07171932,12.11582393,4.08,297,1,Spring,All
91.64528653,11.90319071,1.79,292,1,Spring,All
91.6951872,14.00000636,2.79,267,1,Spring,All
91.74510435,16.02480325,5.49,276,1,Spring,All
91.79503797,18.14060606,3.43,234,1,Spring,All
91.84498808,20.19466335,1.86,246,1,Spring,All
91.89495468,22.25581903,2.53,240,1,Spring,All
92.44542489,24.70322051,3.13,210,1,Spring,All
92.64920895,27.25060932,0.37,207,1,Spring,All
92.69944107,30.03602884,3.8,246,1,Spring,All
92.55287502,32.27365845,2.37,314,1,Spring,All
92.58549252,34.5037688,3.97,245,1,Spring,All
92.63570359,36.98125188,2.46,217,1,Spring,All
92.85687556,40.028353,4.02,216,2,Spring,All
93.52150559,43.78408831,2.54,270,2,Spring,All
93.84328235,47.86887282,1.49,310,2,Spring,All
93.90854037,51.89014735,1.99,262,2,Spring,All
93.95918826,55.89549451,1.93,254,2,Spring,All
94.02701071,60.03773416,2.85,287,2,Spring,All
95.08835009,64.6926122,1.81,60,2,Spring,All
96.07936799,69.88737999,2.1,253,3,Spring,All
96.37219466,75.22027305,5.2,243,3,Summer,All
96.18693372,63.08378291,1.97,44,2,Summer,All
96.2135197,67.43109033,1.3,298,3,Summer,All
96.09224802,71.58917996,3.17,223,3,Summer,All
96.13889948,76.04888165,4.36,231,3,Summer,All
96.08052175,80.50654785,2.03,271,3,Summer,All
96.01767672,84.50958109,3.26,233,3,Summer,All
96.34350531,89.33992136,2.91,236,3,Summer,All
96.60904183,94.23064276,2.55,249,3,Summer,All
96.66058128,99.13115684,1.45,224,3,Summer,All
96.71213775,103.9178366,4.97,243,4,Summer,All
96.76371124,108.6474449,5.32,259,4,Summer,All
96.81530176,113.2200322,1.92,225,4,Summer,All
96.13315725,117.0191158,2.35,259,3,Summer,All
95.66897235,120.7297759,2.46,267,3,Summer,All
95.29600442,124.2319829,3.28,243,3,Summer,All
95.10065047,127.3289079,2.47,240,3,Summer,All
95.15169192,130.9066609,2.18,41,3,Summer,All
95.20275023,135.0662372,2.59,258,3,Summer,All
95.11302934,138.8697964,1.34,276,3,Summer,All
93.71538754,71.14092531,2.12,214,2,Summer,All
93.41855997,73.74783476,2.76,299,2,Summer,All
93.46904608,76.54218913,1.7,231,2,Summer,All
93.51954887,79.34477768,2.66,67,2,Summer,All
93.57006832,82.30526549,3.2,86,2,Summer,All
93.62060446,85.41289061,2.4,274,2,Summer,All
93.64508245,88.34504227,2.36,260,2,Summer,All
93.69564335,91.44774982,1.28,205,2,Summer,All
93.80347698,94.9060053,4.19,203,3,Summer,All
94.03615659,98.62075348,3.48,331,3,Summer,All
94.56865122,102.9541544,2.89,204,3,Summer,All
95.06203777,108.2173325,1.23,242,3,Summer,All
95.71400814,113.7879016,4.71,24,4,Summer,All
96.00485005,119.52094,2.55,279,3,Summer,All
96.07474532,125.176818,0.09,241,3,Summer,All
96.24148372,130.6338004,5.27,256,4,Summer,All
96.39849125,136.2418379,2.33,201,4,Summer,All
96.65322163,142.1745257,2.29,146,4,Summer,All
96.88157621,148.317791,2.14,253,4,Summer,All
96.93320564,131.322687,1.79,206,4,Summer,All
96.66807041,110.3609216,2.16,231,4,Summer,All
95.7453321,114.8868616,2.59,246,3,Summer,All
95.68352762,119.5844201,5.33,233,4,Summer,All
95.73476151,124.4468515,3.37,261,4,Summer,All
95.10047456,128.7978427,1.49,195,3,Summer,All
94.67716566,95.53453644,2.27,240,3,Summer,All
93.20984678,66.04644069,4.97,243,2,Summer,All
92.66729632,48.33175776,4.43,236,2,Summer,All
92.71753441,53.55839722,2.14,7,2,Summer,All
92.81893247,58.70930342,3.58,242,2,Summer,All
92.86922062,63.63501322,6.66,129,2,Summer,All
92.91952537,68.30072953,2.2,262,2,Summer,All
93.16349644,73.07962078,1.12,24,2,Summer,All
94.09304879,78.14809211,1.23,155,2,Summer,All
94.55669823,83.36948588,1.79,325,2,Summer,All
95.31538218,88.8694629,1.17,57,3,Summer,All
96.2461702,94.91163016,4.08,212,3,Summer,All
96.55869084,101.0728708,1.6,57,3,Summer,All
97.37417534,107.619837,1.43,232,4,Summer,All
97.4259674,114.1126663,7.68,243,5,Summer,All
97.47777656,120.2079324,1.73,211,4,Summer,All
97.52960283,125.9268434,2.4,206,4,Summer,All
95.21648496,130.16524,2.55,258,3,Summer,All
92.07732857,133.462741,3.32,252,3,Summer,All
90.43536844,136.2049297,1.34,244,2,Summer,All
91.13487296,140.0341727,1.55,256,2,Summer,All
93.93888121,144.8386229,1.38,257,3,Summer,All
94.60523676,106.5383594,0.93,18,3,Summer,All
94.65611466,107.7096732,1.96,236,3,Summer,All
94.70700935,113.2415475,1.81,306,3,Summer,All
94.87216048,119.0167663,1.06,250,3,Summer,All
95.09815924,124.916749,2.42,297,3,Summer,All
95.14919987,102.2856331,2.52,40,3,Summer,All
95.20025736,83.49880797,1.55,241,3,Summer,All
94.40808219,62.1137974,1.6,246,2,Summer,All
94.458895,64.3137031,1.82,333,2,Summer,All
94.50972458,36.07383844,1.36,308,2,Summer,All
93.81482467,21.87060391,1.99,229,1,Summer,All
93.1596869,17.92158646,1.38,251,1,Summer,All
92.81351433,16.67064758,1.34,233,1,Summer,All
92.65049942,22.27040371,1.17,202,1,Summer,All
92.43398217,27.50414902,1.92,284,1,Summer,All
92.48414323,32.81859083,1.75,236,1,Summer,All
92.53432085,38.12572804,1.32,237,1,Summer,All
92.58451503,33.70838315,1.84,208,1,Summer,All
92.63472579,34.91198363,1.17,218,1,Summer,All
92.68495312,28.80703107,1.45,228,1,Summer,All
92.73519703,22.26471089,1.56,150,1,Summer,All
92.78545754,16.16008962,2.03,9,1,Summer,All
92.83573463,15.9812312,0.56,39,1,Summer,All
92.88602833,22.49195081,5.62,250,1,Summer,All
92.99982401,28.83048935,1.42,238,1,Summer,All
93.42305026,35.09552876,1.17,242,1,Summer,All
93.47353785,40.99006186,1.16,204,2,Summer,All
93.52404212,46.29692897,1.68,210,2,Summer,All
93.57456306,51.25580768,1.14,184,2,Summer,All
93.62510068,55.93023233,1.64,204,2,Summer,All
93.67565499,51.56779738,2.01,239,2,Summer,All
93.64425018,35.52747113,1.27,328,2,Summer,All
93.2345458,32.34270243,1.14,2,1,Summer,All
92.09364969,21.89181004,1.58,240,1,Summer,All
91.66269021,15.92849648,1.12,322,1,Summer,All
91.71259662,18.04205337,1.52,232,1,Summer,All
91.76251951,19.75893341,1.32,223,1,Summer,All
91.81245889,25.20842747,0.69,16,1,Summer,All
91.86241475,30.56925477,1.27,6,1,Summer,All
92.04202992,35.98067039,2.03,318,1,Summer,All
92.22474326,40.53287883,2.31,261,1,Summer,All
92.27483523,44.78215779,1.42,20,1,Summer,All
92.32494375,48.3145653,0.95,40,2,Summer,All
92.37506881,52.18966421,1.36,47,2,Summer,All
92.52591864,53.42870463,1.1,256,2,Summer,All
92.57611005,57.55276446,1.6,109,2,Summer,All
92.62631803,45.11082692,2.85,45,2,Summer,All
92.67654259,49.34642254,1.42,67,2,Summer,All
92.72678373,44.6192647,2.74,268,2,Summer,All
92.77704145,38.57301138,2.59,240,2,Summer,All
92.71656202,28.09228347,1.56,7,1,Summer,All
92.28717853,23.58735582,1.27,200,1,Summer,All
92.33729112,22.3189083,5.18,202,1,Summer,All
92.38742026,15.34704226,1.16,71,1,Summer,All
92.43756594,16.63498535,1.99,258,1,Fall,All
92.48772818,21.59107597,2.87,229,1,Fall,All
92.53790698,24.80298157,1.12,127,1,Fall,All
92.58810235,29.29826387,1.66,52,1,Fall,All
92.99530572,33.8745215,2.03,45,1,Fall,All
93.5186511,38.45605558,1.75,250,2,Fall,All
93.76395886,43.11236613,2.55,42,2,Fall,All
93.97514155,47.79925792,1.28,78,2,Fall,All
94.02581142,52.31684342,2.37,36,2,Fall,All
94.32871283,56.8230673,1.47,240,2,Fall,All
94.43193766,61.21328594,2.61,246,2,Fall,All
94.48275834,65.42360321,0.53,87,2,Fall,All
94.53359581,69.51563878,1.51,221,2,Fall,All
95.75145889,73.98541844,1.12,51,3,Fall,All
96.00727371,78.32570524,2.61,36,3,Fall,All
95.92529804,82.14904658,0.69,315,3,Fall,All
95.97661176,85.32812786,1.02,240,3,Fall,All
96.02794242,88.64549896,2.38,54,3,Fall,All
96.45788576,92.0946551,2.72,42,3,Fall,All
96.52283673,95.50257678,1.38,25,3,Fall,All
96.57434772,98.8332623,1.62,235,3,Fall,All
96.62587572,102.1571451,1.92,151,3,Fall,All
96.67742073,105.3996256,1.47,202,3,Fall,All
96.72898276,108.5394286,1.42,241,3,Fall,All
96.69720678,111.4530138,1.92,262,4,Fall,All
96.62499086,114.3002287,0.91,204,3,Fall,All
