FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
88.96688999,7.195365673,1.62,1,1,Spring,All
90.67388656,7.885637524,5.33,14,1,Spring,All
90.95421184,8.411500061,5.17,215,1,Spring,All
91.00388435,9.151583392,0.99,245,1,Spring,All
91.44668905,10.39334498,4.96,33,1,Spring,All
91.93938347,12.05634661,1.84,212,1,Spring,All
92.40347149,13.98101591,3.39,222,1,Spring,All
92.65087218,16.20631246,2.81,268,1,Spring,All
93.01910896,18.85620676,3.09,215,1,Spring,All
93.17798793,21.66974097,2.68,300,1,Spring,All
93.56202538,24.51925055,7.3,9,1,Spring,All
93.61255886,27.31961378,3.87,59,1,Spring,All
93.78140084,30.15780179,2.05,260,1,Spring,All
93.83200674,33.02437412,1.73,71,1,Spring,All
93.88262936,35.69507399,3.63,233,1,Spring,All
93.87561019,37.55907307,2.06,53,1,Spring,All
93.9262472,39.80627718,3.39,263,1,Spring,All
93.51835275,41.7919529,1.16,17,1,Spring,All
93.56887182,43.77998905,2.46,219,1,Spring,All
93.58550832,46.29180621,2.1,242,1,Spring,All
93.03781887,48.43671546,1.73,45,1,Spring,All
92.54550478,47.95602019,1.86,217,1,Spring,All
92.59570266,50.20803923,5.5,46,1,Spring,All
93.33071592,52.92090329,2.09,68,1,Spring,All
93.38748487,55.73621723,1.95,302,1,Spring,All
93.43796073,48.55438583,5.83,200,1,Spring,All
92.18968996,47.38982888,1.66,241,1,Spring,All
91.35748286,48.52833519,2.72,212,1,Spring,All
91.01690874,43.30019868,2.38,331,1,Spring,All
91.06660195,44.59042503,0.68,94,1,Spring,All
91.11631157,46.34690771,2.27,226,1,Spring,All
91.4690329,48.44613054,2.29,259,1,Spring,All
91.51887538,50.49836763,2.48,153,1,Spring,All
91.56873431,43.11317173,2.48,245,1,Spring,All
91.61860971,44.088274,2.14,231,1,Spring,All
91.66850157,45.57449329,2.56,246,1,Spring,All
91.7184099,47.28172936,7.6,34,1,Spring,All
91.76833471,48.95918724,2.33,219,1,Spring,All
91.21419178,50.35738576,2.14,261,1,Spring,All
91.03068809,49.69460908,2.59,279,1,Spring,All
91.08038585,51.44018072,5.07,166,1,Spring,All
91.92888743,53.66923769,3.84,236,1,Summer,All
92.80025049,56.22042586,1.82,76,1,Summer,All
93.2297301,58.78043347,3.19,185,1,Summer,All
93.44617041,61.33414565,1.88,32,1,Summer,All
93.49666564,63.64940784,2.35,228,2,Summer,All
93.54717754,65.95224461,5.42,260,2,Summer,All
94.03487388,69.05666226,1.62,235,2,Summer,All
94.64982121,72.64266904,1.94,209,2,Summer,All
95.16659129,76.68666938,1.49,281,2,Summer,All
95.21765452,80.56767759,1.94,243,2,Summer,All
95.26873461,84.46107388,1.92,209,2,Summer,All
95.31983156,77.93477168,4.12,45,2,Summer,All
95.37094538,59.78193408,5.1,267,2,Summer,All
95.42207608,63.78199527,9.22,254,3,Summer,All
95.47322365,67.59019586,2.37,329,2,Summer,All
95.52438812,71.58668272,1.92,215,2,Summer,All
95.57556947,75.6883927,1.68,203,2,Summer,All
95.62676773,79.59390319,3.17,358,2,Summer,All
95.67798288,78.40127072,3.91,295,2,Summer,All
94.94280316,81.19260008,5.36,48,2,Summer,All
94.24460062,83.67406491,1.81,240,2,Summer,All
93.62959092,71.39406418,3.35,211,2,Summer,All
93.40178786,74.26952537,2.66,208,2,Summer,All
93.45226844,63.95823082,1.38,192,1,Summer,All
93.50276568,58.67229072,1.1,262,1,Summer,All
94.15050245,62.89561242,0,318,1,Summer,All
95.13596899,67.62083045,2.91,167,2,Summer,All
