FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
90.59539905,8.71185373,3.06,212,1,Spring,All
91.19067742,6.737671572,2.59,233,1,Spring,All
92.01230367,9.362334477,3.87,87,1,Spring,All
92.38586398,11.94287529,2.1,335,1,Spring,All
93.59198586,14.89040345,1.38,254,1,Spring,All
94.88642934,18.11713135,2.68,14,1,Spring,All
95.053492,21.48088133,3.02,265,1,Spring,All
94.95283361,24.3447774,3.46,302,1,Spring,All
93.17001436,15.23357637,2.35,231,1,Spring,All
93.22041842,17.1998584,2.6,250,1,Spring,All
93.57605236,20.05576779,2.94,247,1,Spring,All
94.40787961,22.98592662,1.82,200,1,Spring,All
95.06941822,26.06393412,0,294,1,Spring,All
96.72077935,28.88074643,2.48,183,1,Spring,All
96.7723557,31.24732998,2.27,241,1,Spring,All
96.82394907,32.94373384,2.4,260,1,Spring,All
95.31187127,33.22631371,2.37,226,1,Spring,All
93.18742375,34.17772419,1.21,43,1,Spring,All
93.21444777,36.19298593,1.82,235,1,Spring,All
93.87533216,39.18991181,2.85,13,1,Spring,All
93.92596908,41.1344957,1.92,239,1,Spring,All
93.89197057,39.17830923,2.35,241,1,Spring,All
93.78800927,38.0552604,1.77,246,1,Spring,All
93.83861736,40.19010569,1.64,266,1,Spring,All
93.88924216,43.01901855,1.79,93,1,Spring,All
93.93988367,46.2019765,2.09,243,1,Spring,All
94.95106065,49.818897,2.23,240,1,Spring,All
95.6851224,53.30527905,6.84,265,2,Spring,All
95.91257523,56.21064095,1.97,278,1,Spring,All
96.18172496,58.98163102,1.86,244,2,Spring,All
96.23312333,61.46939705,3.32,240,2,Spring,All
96.28453868,64.21440046,1.56,15,2,Spring,All
96.26290628,66.65769265,5.17,231,2,Spring,All
96.30770046,69.42539154,1.6,226,2,Spring,All
96.35914042,72.45888834,2.44,4,2,Spring,All
96.41059737,75.19784408,3.48,52,2,Spring,All
95.68949478,77.11722889,3.43,250,2,Spring,All
95.2919951,78.81160072,1.86,253,2,Spring,All
95.1456744,81.08958499,4.67,236,2,Spring,All
95.19673072,83.99490076,2.07,198,2,Spring,All
95.2390525,87.12902938,2.45,171,2,Spring,All
94.99351686,90.04033364,1.7,79,2,Summer,All
94.97404593,92.79259349,2.66,238,2,Summer,All
94.9949648,95.07486713,2.66,274,2,Summer,All
94.86503423,97.53106113,1.64,222,2,Summer,All
94.77197762,100.011382,1.47,249,2,Summer,All
94.82291057,103.1612775,5.05,284,2,Summer,All
94.87386033,105.9543316,3.09,85,2,Summer,All
94.92482692,109.1351979,1.34,222,2,Summer,All
94.97176464,112.3580982,2.53,214,2,Summer,All
95.02276355,115.8236146,4.47,297,2,Summer,All
95.77276953,120.088763,2.43,231,2,Summer,All
95.82403289,124.0090494,2.33,76,2,Summer,All
95.42189996,74.52776729,1.79,201,2,Summer,All
95.38405824,71.88326572,3.13,341,2,Summer,All
95.43519326,75.06130145,1.58,234,2,Summer,All
95.48634517,73.04672377,2.72,254,2,Summer,All
95.53751397,75.61242036,1.81,335,2,Summer,All
95.58869966,78.73404529,2.65,249,2,Summer,All
95.63990224,81.87782705,2.18,242,2,Summer,All
95.66566669,84.95818416,1.47,262,2,Summer,All
