FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
87.85111187,7.48493129,2.45,109,1,Spring,All
90.69476958,9.491234992,5.35,211,1,Spring,All
91.99023011,11.81262736,1.77,255,1,Spring,All
92.08162955,12.81239061,2.59,239,1,Spring,All
90.13843574,6.416971501,2.29,294,1,Spring,All
90.18783892,7.650446169,4.98,238,1,Spring,All
90.77699703,9.68015856,2.53,276,1,Spring,All
91.75379059,12.04913541,2.27,73,1,Spring,All
92.09548551,14.43581357,4.94,240,1,Spring,All
92.83191838,17.42149053,3.11,13,1,Spring,All
92.8176098,19.36467573,5.27,253,1,Spring,All
92.70539776,20.77132881,6.13,233,1,Spring,All
92.75564842,21.98568088,1.41,244,1,Spring,All
92.80591568,23.48177023,1.62,99,1,Spring,All
93.61405334,26.02001786,2.66,241,1,Spring,All
94.02930409,28.83931304,2.66,259,1,Spring,All
94.88047194,31.71424682,3.6,238,1,Spring,All
95.87214504,34.68775901,2.16,15,1,Spring,All
96.62451117,38.24336644,3.95,299,1,Spring,All
96.65027464,41.1987243,4.12,235,1,Spring,All
96.70182771,44.95402576,4.08,297,2,Spring,All
96.53279395,47.68895982,1.79,292,1,Spring,All
95.16875583,36.2380542,2.79,267,1,Spring,All
93.59887296,37.84414867,5.49,276,1,Spring,All
93.49163336,40.14592324,3.43,234,1,Spring,All
93.5421436,42.74267513,1.86,246,1,Spring,All
94.90613544,45.5330539,2.53,240,1,Spring,All
95.27636789,48.30901983,3.13,210,1,Spring,All
95.85206842,51.63339277,0.37,207,1,Spring,All
96.0160178,55.29900225,3.8,246,2,Spring,All
95.32948612,51.82423629,2.37,314,1,Spring,All
93.33065089,44.19015311,3.97,245,1,Spring,All
92.26354115,43.71652418,2.46,217,1,Spring,All
91.94961615,35.19564168,4.02,216,1,Spring,All
91.99961729,34.16377376,2.54,270,1,Spring,All
92.92171133,36.85477598,1.49,310,1,Spring,All
95.23906067,39.95441389,1.99,262,1,Spring,All
96.76737992,43.23545278,1.93,254,1,Spring,All
97.1963265,46.45089155,2.85,287,2,Spring,All
97.68509488,49.93503352,1.81,60,2,Spring,All
97.7369896,54.26819921,2.1,253,2,Spring,All
97.78890144,58.9987483,5.2,243,2,Summer,All
97.62295898,63.10650506,1.97,44,2,Summer,All
97.46592312,67.1779403,1.3,298,2,Summer,All
97.29900325,70.80199313,3.17,223,2,Summer,All
97.06445494,74.39260018,4.36,231,2,Summer,All
96.91479096,78.57040821,2.03,271,2,Summer,All
96.88804232,82.88971944,3.26,233,2,Summer,All
96.93967389,66.64618336,2.91,236,2,Summer,All
96.9913225,71.38187514,2.55,249,2,Summer,All
97.5045274,76.71261697,1.45,224,2,Summer,All
97.50832533,81.46312049,4.97,243,3,Summer,All
97.32899704,85.9704931,5.32,259,3,Summer,All
97.34073092,90.74896512,1.92,225,3,Summer,All
97.35656025,95.50428527,2.35,259,3,Summer,All
97.4083465,100.3698853,2.46,267,3,Summer,All
97.46014984,105.3479357,3.28,243,3,Summer,All
97.42104869,110.2328096,2.47,240,3,Summer,All
97.1553236,114.7040845,2.18,41,3,Summer,All
96.54928689,118.8626978,2.59,258,3,Summer,All
96.52735892,123.4774268,1.34,276,3,Summer,All
96.53282825,128.0430421,2.12,214,3,Summer,All
96.18309437,131.7040144,2.76,299,3,Summer,All
96.02393923,135.5707187,1.7,231,3,Summer,All
95.93099817,139.6571506,2.66,67,3,Summer,All
95.98231377,144.0763162,3.2,86,3,Summer,All
95.88514538,147.9287327,2.4,274,3,Summer,All
95.91854145,152.2647321,2.36,260,3,Summer,All
95.96985294,104.0772923,1.28,205,2,Summer,All
94.19365147,66.19790129,4.19,203,1,Summer,All
92.88819372,69.60988469,3.48,331,1,Summer,All
92.93850473,73.10893281,2.89,204,1,Summer,All
92.98883236,76.78541017,1.23,242,1,Summer,All
93.46217095,80.73505492,4.71,24,2,Summer,All
93.78828737,84.7648148,2.55,279,1,Summer,All
93.83889555,88.70661576,0.09,241,1,Summer,All
94.0389989,92.81625739,5.27,256,2,Summer,All
95.1291923,97.27843423,2.33,201,2,Summer,All
95.68429841,102.0410543,2.29,146,2,Summer,All
96.51200108,107.1871122,2.14,253,3,Summer,All
96.69029689,112.3051059,1.79,206,3,Summer,All
96.74186317,117.4145997,2.16,231,3,Summer,All
96.79344647,122.5933156,2.59,246,3,Summer,All
97.12771189,127.9976589,5.33,233,4,Summer,All
97.32364457,133.1302169,3.37,261,4,Summer,All
97.37541995,137.9017306,1.49,195,4,Summer,All
97.10090434,104.926487,2.27,240,3,Summer,All
95.0301721,100.1047344,4.97,243,2,Summer,All
94.56338297,101.7340312,4.43,236,2,Summer,All
95.30593044,106.9108095,2.14,7,2,Summer,All
95.69439289,112.0275937,3.58,242,3,Summer,All
95.88496448,117.4314114,6.66,129,3,Summer,All
95.93626488,122.7418044,2.2,262,3,Summer,All
95.69481555,127.428904,1.12,24,2,Summer,All
95.55211966,120.8898899,1.23,155,2,Summer,All
94.53381338,125.2935279,1.79,325,2,Summer,All
94.5846677,129.9316482,1.17,57,2,Summer,All
95.16531573,134.8643839,4.08,212,3,Summer,All
95.3692373,139.8914343,1.6,57,3,Summer,All
95.42036743,111.5025104,1.43,232,2,Summer,All
94.08055863,80.02377055,7.68,243,2,Summer,All
93.65587436,85.27198036,1.73,211,1,Summer,All
93.70643883,68.08676499,2.4,206,1,Summer,All
93.75701999,55.30703969,2.55,258,1,Summer,All
93.80761784,47.31779603,3.32,252,1,Summer,All
93.85823241,34.5278949,1.34,244,1,Summer,All
93.90886368,41.70916399,1.55,256,1,Summer,All
93.95951167,48.39617021,1.38,257,1,Summer,All
94.19308297,54.73672742,0.93,18,1,Summer,All
94.55051108,61.0022119,1.96,236,1,Summer,All
95.01828681,62.29032131,1.81,306,1,Summer,All
95.06930108,56.58685947,1.06,250,1,Summer,All
95.47993346,64.49005291,2.42,297,2,Summer,All
95.53110013,71.55585891,2.52,40,2,Summer,All
95.68778884,78.74224906,1.55,241,2,Summer,All
95.61306045,85.37094621,1.6,246,2,Summer,All
95.53117394,91.58163627,1.82,333,2,Summer,All
95.58235754,97.09961779,1.36,308,2,Summer,All
95.63355803,84.96488581,1.99,229,2,Summer,All
95.55045536,87.41453439,1.38,251,2,Summer,All
94.87712429,92.14723214,1.34,233,2,Summer,All
93.41824107,96.09469715,1.17,202,1,Summer,All
93.28885349,82.24283943,1.92,284,1,Summer,All
93.33929678,87.01430056,1.75,236,1,Summer,All
94.20685665,92.43021064,1.32,237,2,Summer,All
95.34134589,98.1826837,1.84,208,2,Summer,All
95.60708426,103.6663029,1.17,218,2,Summer,All
95.65829292,105.4257327,1.45,228,2,Summer,All
95.70951848,87.54907104,1.56,150,2,Summer,All
93.84098745,91.78594113,2.03,9,2,Summer,All
92.87451685,77.48644867,0.56,39,1,Summer,All
92.92482335,82.04675001,5.62,250,1,Summer,All
92.97514646,86.63973598,1.42,238,1,Summer,All
93.02548618,91.31209117,1.17,242,1,Summer,All
93.07584252,95.879759,1.16,204,1,Summer,All
93.06610712,100.2783953,1.68,210,1,Summer,All
93.11647687,104.650052,1.14,184,1,Summer,All
93.16686326,109.0030314,1.64,204,2,Summer,All
93.21726627,70.8025947,2.01,239,1,Summer,All
92.9982251,60.01574968,1.27,328,1,Summer,All
93.04857244,47.83668983,1.14,2,1,Summer,All
93.0989364,52.82756803,1.58,240,1,Summer,All
92.82916039,57.19645877,1.12,322,1,Summer,All
92.47776661,49.77978174,1.52,232,1,Summer,All
92.48078488,54.5118775,1.32,223,1,Summer,All
92.6562739,59.84024328,0.69,16,1,Summer,All
92.70650835,64.7930111,1.27,6,1,Summer,All
92.75675938,69.34854202,2.03,318,1,Summer,All
92.29555619,72.76763399,2.31,261,1,Summer,All
92.34567154,76.19067325,1.42,20,1,Summer,All
92.39580344,79.96533914,0.95,40,1,Summer,All
93.53677445,84.10265112,1.36,47,1,Summer,All
93.93370972,88.13470907,1.1,256,1,Summer,All
93.98436591,91.91714534,1.6,109,2,Summer,All
93.45168434,95.21539028,2.85,45,2,Summer,All
93.45149661,98.46629793,1.42,67,1,Summer,All
93.5019936,101.8103939,2.74,268,2,Summer,All
93.27983362,96.52107612,2.59,240,2,Summer,All
93.33027394,99.94748581,1.56,7,1,Summer,All
93.38073091,103.4497187,1.27,200,2,Summer,All
93.43120453,106.7405557,5.18,202,2,Summer,All
93.15554898,109.5859571,1.16,71,2,Summer,All
92.56778805,112.3057764,1.99,258,1,Fall,All
92.43086258,114.6748004,2.87,229,2,Fall,All
92.4810226,117.6167702,1.12,127,1,Fall,All
93.91292047,121.1364743,1.66,52,2,Fall,All
94.42044671,124.6580027,2.03,45,2,Fall,All
94.4712636,128.0082715,1.75,250,2,Fall,All
93.87795297,130.7565056,2.55,42,2,Fall,All
93.66280527,133.1988476,1.28,78,2,Fall,All
93.71337202,136.3526777,2.37,36,2,Fall,All
93.2077881,100.2874174,1.47,240,1,Fall,All
92.10540421,46.70228117,2.61,246,1,Fall,All
90.27272293,19.79086818,0.53,87,1,Fall,All
89.57115103,10.50745388,1.51,221,1,Fall,All
89.62036692,11.7507509,1.12,51,1,Fall,All
89.66959906,13.61394898,2.61,36,1,Fall,All
89.74462873,16.43974675,0.69,315,1,Fall,All
89.84416578,18.74654545,1.02,240,1,Fall,All
90.54694336,21.44543018,2.38,54,1,Fall,All
92.22817815,24.94297561,2.72,42,1,Fall,All
93.19296414,28.61934167,1.38,25,1,Fall,All
93.24337577,32.114856,1.62,235,1,Fall,All
93.29380405,35.17547292,1.92,151,1,Fall,All
93.34424898,38.11341761,1.47,202,1,Fall,All
93.30389483,40.91023791,1.42,241,1,Fall,All
93.35434309,43.84983186,1.92,262,1,Fall,All
93.54480159,47.04484068,0.91,204,1,Fall,All
93.665801,50.22780666,1.3,241,1,Fall,All
93.71636874,53.12163106,2.09,286,1,Fall,All
93.76695318,55.60720932,2.46,218,1,Fall,All
93.81755431,57.97996548,2.48,242,1,Fall,All
93.86817216,60.30739168,2.57,234,1,Fall,All
93.85078943,62.51810879,1.32,289,1,Fall,All
93.75440949,64.70079387,1.75,45,1,Fall,All
93.42064932,66.67271386,1.19,339,1,Fall,All
93.24913458,68.64863017,2.59,44,1,Fall,All
93.27578068,69.94815665,1.86,69,1,Fall,All
93.32621965,71.60525537,2.7,237,1,Fall,All
93.56064773,73.70101554,2.61,236,1,Fall,All
92.99487603,74.74104462,1.51,153,1,Fall,All
92.82154438,75.57606091,2.05,233,1,Fall,All
92.81978327,76.56787787,4.54,308,1,Fall,All
92.77762664,77.57131983,0.86,239,1,Fall,All
92.82790115,78.60302915,1.99,231,1,Fall,All
92.97416887,79.82394525,1.4,25,1,Fall,All
93.3091325,81.06685942,1.12,261,1,Fall,All
93.37766543,82.2917459,2.35,213,1,Fall,All
93.68397423,83.78470387,5.42,58,2,Fall,All
86.34228437,5.2958441,1.64,34,1,Spring,All
87.44905646,6.177427343,5.23,53,1,Spring,All
88.35908888,7.291065136,3.24,252,1,Spring,All
89.23012668,8.461819834,2.89,216,1,Spring,All
89.5567876,10.19199569,1.62,220,1,Spring,All
89.58485171,11.56282137,2.38,269,1,Spring,All
89.72326837,12.93930991,1.68,48,1,Spring,All
90.47256246,14.99077384,3.61,246,1,Spring,All
91.34694173,16.6279251,3.91,287,1,Spring,All
91.74681538,18.67058153,2.68,64,1,Spring,All
91.8690038,12.97219126,3.86,233,1,Spring,All
94.93879826,15.6988216,5.36,220,1,Spring,All
96.32094531,18.56704285,2.37,224,1,Spring,All
96.37238965,20.58437392,3.78,304,1,Spring,All
96.97281072,23.38340639,1.53,238,1,Spring,All
95.63965189,15.58410143,2.44,226,1,Spring,All
94.8880289,10.63282436,2.59,263,1,Spring,All
95.24500424,13.49200292,1.77,228,1,Spring,All
96.03173434,16.78833414,1.28,241,1,Spring,All
96.91904361,20.2093399,0,256,1,Spring,All
97.9847417,23.49535484,4.19,202,1,Spring,All
98.01620422,25.90996999,2.09,264,1,Spring,All
98.06820825,28.15119485,1.7,284,1,Spring,All
98.12022945,30.80379431,2.12,305,1,Spring,All
98.12836376,33.22225722,1.32,212,1,Spring,All
98.10054552,36.020296,2.53,232,1,Spring,All
98.07482834,39.05717761,1.53,232,1,Spring,All
98.12685172,42.77773244,5.04,25,2,Spring,All
98.03683234,46.59406329,3.11,207,2,Spring,All
98.00706125,50.43407453,1.86,237,2,Spring,All
97.97538092,54.64698054,6.88,236,2,Spring,All
98.01837276,58.38666137,1.27,267,2,Spring,All
98.07381086,61.93258028,4.54,297,2,Spring,All
98.00430866,64.68772246,6.87,58,3,Spring,All
97.77220105,67.37095505,2.55,219,2,Spring,All
97.82412452,70.97785332,2.29,207,2,Spring,All
97.87606513,74.22155389,1.53,274,2,Spring,All
98.21281715,78.22514568,2.55,68,3,Spring,All
98.26488609,81.59396853,3.09,235,3,Spring,All
98.30434036,85.00675914,5.25,232,4,Spring,All
97.97243002,88.50172089,0.56,224,3,Spring,All
97.64066054,92.49768892,3.65,334,3,Summer,All
97.69254058,96.61630757,1.97,321,3,Summer,All
97.74443776,75.7498848,2.03,248,2,Summer,All
97.55906502,79.70743153,1.96,325,2,Summer,All
97.41669306,83.96015575,4.28,240,3,Summer,All
97.30900579,88.14559129,1.71,217,3,Summer,All
97.10057862,92.10300667,2.12,252,3,Summer,All
96.87255806,95.69421388,3.43,219,3,Summer,All
96.92418452,99.41433903,2.68,256,3,Summer,All
96.97582802,103.4961392,1.79,153,3,Summer,All
97.02748856,108.1445138,1.79,233,3,Summer,All
96.88266524,111.4497875,1.73,252,3,Summer,All
96.66241744,114.609417,2.23,62,3,Summer,All
96.62078096,117.912466,2.85,209,3,Summer,All
96.09330476,121.0994744,3.32,238,3,Summer,All
95.81844002,124.6622081,1.77,258,3,Summer,All
95.56914855,128.1435927,2.48,202,3,Summer,All
95.49001797,131.9424761,2.16,85,3,Summer,All
95.37103633,135.2896066,4.58,235,3,Summer,All
95.32065055,138.5433786,6.24,235,3,Summer,All
95.26786641,141.7656372,2.38,281,3,Summer,All
95.2003935,145.0457073,4.47,89,3,Summer,All
95.24255018,148.6403104,2.59,251,3,Summer,All
95.25198984,152.1467102,3.04,27,3,Summer,All
95.30308126,155.6654786,0.77,235,3,Summer,All
95.16653956,159.3008484,2.51,302,3,Summer,All
95.21760277,163.1947127,2.31,253,3,Summer,All
95.26868284,167.1572581,3.95,268,3,Summer,All
95.31977978,171.618478,4.67,188,3,Summer,All
95.37089358,176.3979251,3.74,194,3,Summer,All
95.42202426,181.7044106,3.28,232,3,Summer,All
