FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
92.79535465,9.037545606,3.97,28,1,Spring,ALL
94.00444606,11.35421847,3.3,133,1,Spring,ALL
91.32739526,7.698200933,3.43,238,1,Spring,ALL
91.42174719,8.335648872,3.67,48,1,Spring,ALL
92.0949482,9.46054359,0.48,76,1,Spring,ALL
93.86207346,11.26341054,4.62,246,1,Spring,ALL
94.31319686,12.98814692,1.72,93,1,Spring,ALL
95.12130386,15.01471701,1.32,237,1,Spring,ALL
95.17235214,17.40793411,1.42,80,1,Spring,ALL
94.79550104,19.83556411,1.86,204,1,Spring,ALL
94.84644175,22.59803216,1.7,235,1,Spring,ALL
93.95694094,24.29452371,1.87,241,1,Spring,ALL
93.59109645,26.19845771,1.7,216,1,Spring,ALL
93.64163953,28.74709067,1.81,227,1,Spring,ALL
94.49671306,31.37325466,3.04,216,1,Spring,ALL
94.89682709,34.36859855,2.37,225,1,Spring,ALL
94.94780125,37.45015545,2.17,250,1,Spring,ALL
94.99277311,32.99834442,1.68,226,1,Spring,ALL
94.77525337,35.83891562,1.77,220,1,Spring,ALL
93.94076981,38.26058427,1.7,34,1,Spring,ALL
93.96755695,40.75930756,0.99,64,1,Spring,ALL
93.73965511,42.87236618,1.88,227,1,Spring,ALL
92.44231211,15.83087349,2.26,26,1,Spring,ALL
90.45687905,5.617363504,2.12,244,1,Spring,ALL
89.96759206,6.304943483,2.77,267,1,Spring,ALL
89.66270562,7.471113066,2.42,228,1,Spring,ALL
89.71195174,9.128074207,1.64,60,1,Spring,ALL
90.47732468,11.54643975,4.92,63,1,Spring,ALL
91.17997756,14.30505761,5.1,247,1,Spring,ALL
91.2297246,16.99812883,2.4,239,1,Spring,ALL
90.89354554,15.42949683,2.44,235,1,Spring,ALL
90.94319802,17.55372083,2.55,311,1,Spring,ALL
90.9928669,19.68581249,8.23,284,1,Spring,ALL
91.14247025,22.1082056,2.57,165,1,Spring,ALL
92.10269732,24.83664609,1.02,317,1,Spring,ALL
92.52317857,27.7558923,1.97,244,1,Spring,ALL
92.17926964,29.81122966,5.1,234,1,Spring,ALL
92.2293466,31.92251272,1.34,216,1,Spring,ALL
93.28039444,35.03606474,2.16,221,1,Spring,ALL
94.65443438,38.85295349,1.49,311,1,Spring,ALL
94.10137918,41.91632877,2.53,141,1,Spring,ALL
92.95333232,43.65931564,0.56,292,1,Summer,ALL
