FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
86.10512529,5.923287029,1.73,287,1,Spring,ALL
88.48319454,6.981168448,2.07,45,1,Spring,ALL
88.53205124,8.160784619,4.73,232,1,Spring,ALL
88.68415194,9.267386511,1.58,252,1,Spring,ALL
91.14545701,11.42391148,6.12,73,1,Spring,ALL
92.61326984,13.64564511,3.11,239,1,Spring,ALL
92.66349009,15.90185024,2.18,192,1,Spring,ALL
92.71372692,16.6001085,2.05,112,1,Spring,ALL
92.74851471,17.50586571,2.52,66,1,Spring,ALL
92.79877961,19.16543905,1.42,230,1,Spring,ALL
92.8490611,21.58754765,1.51,221,1,Spring,ALL
93.15555775,24.0440689,3.37,226,1,Spring,ALL
92.38055227,25.87617014,2.18,280,1,Spring,ALL
92.35297947,27.95087053,1.88,337,1,Spring,ALL
92.40311379,19.35069583,2.18,160,1,Spring,ALL
91.05599957,6.877443798,1.16,280,1,Spring,ALL
91.10570569,4.818671805,0.72,66,1,Spring,ALL
91.32840787,7.29118098,5.55,215,1,Spring,ALL
92.15898959,9.321834958,1.73,229,1,Spring,ALL
92.9548587,11.4753398,0.93,264,1,Spring,ALL
92.78864984,7.573004414,1.75,240,1,Spring,ALL
92.69460536,5.899483576,3.71,49,1,Spring,ALL
92.74485246,7.911948833,4.04,216,1,Spring,ALL
92.89311563,10.04792662,6.13,40,1,Spring,ALL
93.052745,12.95889754,3.66,236,1,Spring,ALL
93.34916515,15.57904526,4.25,239,1,Spring,ALL
92.6873029,18.33858244,1.86,90,1,Spring,ALL
91.04300263,20.45617363,2.65,272,1,Spring,ALL
90.71967564,22.5981815,4.45,85,1,Spring,ALL
90.70379612,24.1604135,1.36,196,1,Spring,ALL
88.7410061,24.62984227,2.18,355,1,Spring,ALL
86.69193184,8.741685925,4.08,285,1,Spring,ALL
86.84336499,8.573063826,2.42,228,1,Spring,ALL
87.88467649,10.8559784,1.77,244,1,Spring,ALL
88.63693483,13.24668224,2.8,218,1,Spring,ALL
90.56542661,16.36261395,4.42,267,1,Spring,ALL
92.09228388,19.43970051,3.33,59,1,Spring,ALL
92.03613372,22.56475388,2.81,273,1,Spring,ALL
92.05020599,16.64368654,2.14,268,1,Spring,ALL
91.0280813,8.326112148,1.88,30,1,Spring,ALL
91.0777782,6.207715882,2.37,196,1,Spring,ALL
91.1274915,9.100743018,3.17,336,1,Summer,ALL
90.92768234,11.52284872,3.61,241,1,Summer,ALL
92.61645693,14.59409605,4.62,222,1,Summer,ALL
92.66667824,17.62270222,2.45,211,1,Summer,ALL
93.23618463,20.57814573,2.42,227,1,Summer,ALL
93.86942586,23.75641687,2.25,206,1,Summer,ALL
94.49452421,27.05066179,2.37,236,1,Summer,ALL
94.36062408,30.34045444,2.18,236,1,Summer,ALL
94.41142122,33.66413317,3.91,325,1,Summer,ALL
94.37776963,37.15839716,1.88,214,1,Summer,ALL
93.64701975,40.20060927,2.55,243,1,Summer,ALL
92.82549199,42.21333364,2.14,31,1,Summer,ALL
92.82008423,44.56276204,1.86,257,1,Summer,ALL
92.70735956,47.10883813,2.92,210,1,Summer,ALL
92.80622231,50.10357979,2.38,189,1,Summer,ALL
93.22656266,53.41958896,1.77,249,1,Summer,ALL
92.94461054,56.48214528,2.53,242,1,Summer,ALL
92.57236815,59.24852189,1.7,272,1,Summer,ALL
92.95978224,62.4432236,1.75,260,1,Summer,ALL
94.21250012,66.58161507,4.54,282,1,Summer,ALL
94.52503876,71.08486359,1.45,257,1,Summer,ALL
94.57589018,76.13262215,6.5,274,1,Summer,ALL
95.29439907,81.26585355,2.23,242,1,Summer,ALL
95.34550449,86.38588844,7.06,277,1,Summer,ALL
95.39662679,91.45285755,1.34,270,1,Summer,ALL
95.44776597,96.58821554,2.81,256,1,Summer,ALL
95.49892202,101.3432039,1.68,39,1,Summer,ALL
95.55009497,56.25633799,5.89,263,1,Summer,ALL
95.60128481,60.83267129,1.42,238,1,Summer,ALL
95.65249156,65.87138828,1.96,226,1,Summer,ALL
95.70371521,70.90603863,4.2,250,1,Summer,ALL
95.6869808,75.80683726,2.03,242,1,Summer,ALL
95.73821583,80.90170225,1.88,278,1,Summer,ALL
95.78946778,85.71609953,3,274,1,Summer,ALL
95.84073665,89.98735639,1.94,213,1,Summer,ALL
95.39504222,93.78754634,1.9,355,1,Summer,ALL
95.13428972,97.32933868,1.49,190,1,Summer,ALL
95.18534228,101.1532674,3.13,224,1,Summer,ALL
95.2364117,104.9916176,2.72,255,1,Summer,ALL
95.25396689,109.2518917,1.85,170,1,Summer,ALL
95.30505897,113.6705223,2.79,345,1,Summer,ALL
95.35616791,118.0343084,6,337,1,Summer,ALL
95.40729373,122.8463865,3.45,255,1,Summer,ALL
94.95832314,127.2391006,1.75,346,1,Summer,ALL
94.98982453,131.7605757,2.12,276,1,Summer,ALL
95.0408294,136.7715575,2.5,251,1,Summer,ALL
95.0293247,141.152643,2.09,221,1,Summer,ALL
95.08034261,145.557759,2.66,246,1,Summer,ALL
95.10023894,149.5140661,1.4,282,1,Summer,ALL
95.11829241,153.6847799,3.3,262,1,Summer,ALL
95.16933969,158.2711016,1.6,202,1,Summer,ALL
95.22040383,162.8883753,1.58,232,1,Summer,ALL
94.62792791,105.8801511,1.82,202,1,Summer,ALL
94.02344087,107.5129157,2.25,84,1,Summer,ALL
94.03014762,111.3024319,1.45,241,1,Summer,ALL
93.93031738,114.8996975,1.01,226,1,Summer,ALL
93.81333625,118.4353573,1.73,246,1,Summer,ALL
93.65247808,108.6406075,2.06,245,1,Summer,ALL
93.70304143,112.4963695,1.16,267,1,Summer,ALL
92.48539671,89.17506143,3.94,190,1,Summer,ALL
91.55892955,76.5890231,1.94,220,1,Summer,ALL
90.69165308,80.03737356,1.96,251,1,Summer,ALL
90.7412389,83.83936217,1.36,103,1,Summer,ALL
90.7908411,87.72393511,1.53,230,1,Summer,ALL
90.84045967,91.48919147,0.54,12,1,Summer,ALL
91.11465788,70.98051931,2.37,224,1,Summer,ALL
89.14936171,36.51635107,1.12,208,1,Summer,ALL
88.92217807,19.96297783,2.25,218,1,Summer,ALL
88.9711797,14.4408386,0.91,62,1,Summer,ALL
89.67783985,16.70919455,3.53,76,1,Summer,ALL
89.93025182,21.83246302,1.81,236,1,Summer,ALL
90.98509468,27.40194673,0.41,72,1,Summer,ALL
92.70638836,33.53406418,1.66,311,1,Summer,ALL
92.75663935,39.0420169,2.1,62,1,Summer,ALL
92.80690694,44.61073772,1.79,213,1,Summer,ALL
92.85503782,49.84617325,1.27,239,1,Summer,ALL
92.52245226,37.42314882,1.34,236,1,Summer,ALL
91.88552939,38.4938721,1.92,263,1,Summer,ALL
91.19843375,31.65196538,0.82,306,1,Summer,ALL
91.24818689,36.39818995,1.75,155,1,Summer,ALL
91.61444238,41.48266742,1.4,1,1,Summer,ALL
91.66433287,46.42917374,0.99,290,1,Summer,ALL
91.71423982,50.81238302,1.84,321,1,Summer,ALL
92.00028433,55.65672881,1.97,253,1,Summer,ALL
92.24455741,60.3640571,2.1,241,1,Summer,ALL
92.39096485,58.97688186,1.38,235,1,Summer,ALL
92.4411117,63.57662311,2.14,35,1,Summer,ALL
92.30970431,67.6751539,0.97,267,1,Summer,ALL
92.35982433,71.96967067,1.96,151,1,Summer,ALL
