FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
87.74552593,7.668523277,1.73,287,1,Spring,ALL
88.88378169,7.238713592,2.07,45,1,Spring,ALL
88.77062883,7.613234384,4.73,232,1,Spring,ALL
88.81958043,8.208563573,1.58,252,1,Spring,ALL
88.98378951,9.041576176,6.12,73,1,Spring,ALL
89.03281148,10.35543729,3.11,239,1,Spring,ALL
89.12917189,11.65925301,2.18,192,1,Spring,ALL
90.55456367,13.49475695,2.05,112,1,Spring,ALL
92.23780962,15.76125159,2.52,66,1,Spring,ALL
92.30987788,18.25340976,1.42,230,1,Spring,ALL
91.60752399,10.85145436,1.51,221,1,Spring,ALL
91.63515218,11.25783103,3.37,226,1,Spring,ALL
90.82740715,12.54418764,2.18,280,1,Spring,ALL
89.89335417,13.59220946,1.88,337,1,Spring,ALL
89.94267644,14.95535852,2.18,160,1,Spring,ALL
90.61619267,16.63250737,1.16,280,1,Spring,ALL
91.4632863,18.73001626,0.72,66,1,Spring,ALL
91.73814443,21.01922921,5.55,215,1,Spring,ALL
91.78807575,23.21311319,1.73,229,1,Spring,ALL
91.83802356,25.73910057,0.93,264,1,Spring,ALL
91.88798786,28.48266832,1.75,240,1,Spring,ALL
92.4214457,30.93053332,3.71,49,1,Spring,ALL
92.47160262,33.21492369,4.04,216,1,Spring,ALL
92.84854387,36.05866836,6.13,40,1,Spring,ALL
93.16301436,39.27163831,3.66,236,1,Spring,ALL
93.21341611,41.68837102,4.25,239,1,Spring,ALL
93.26383449,43.81677847,1.86,90,1,Spring,ALL
92.16192883,45.27093148,2.65,272,1,Spring,ALL
91.5869773,46.8500847,4.45,85,1,Spring,ALL
91.58729498,48.81844627,1.36,196,1,Spring,ALL
91.6371765,51.44110945,2.18,355,1,Spring,ALL
91.53515588,53.60195062,4.08,285,1,Spring,ALL
91.35490349,55.27323466,2.42,228,1,Spring,ALL
90.94569086,56.4844394,1.77,244,1,Spring,ALL
90.99536056,58.44654615,2.8,218,1,Spring,ALL
91.26703855,53.36313159,4.42,267,1,Spring,ALL
91.31681434,56.08323998,3.33,59,1,Spring,ALL
91.05336503,58.32157874,2.81,273,1,Spring,ALL
90.60202669,60.74797216,2.14,268,1,Spring,ALL
90.03533038,63.14790686,1.88,30,1,Spring,ALL
90.08469952,60.36502137,2.37,196,1,Spring,ALL
90.13408496,63.05738565,3.17,336,1,Summer,ALL
90.18348671,65.71560969,3.61,241,1,Summer,ALL
91.23512894,68.4233404,4.62,222,1,Summer,ALL
91.40023659,71.06222303,2.45,211,1,Summer,ALL
91.45005636,73.51221706,2.42,227,1,Summer,ALL
89.88880392,38.0368185,2.25,206,1,Summer,ALL
89.93812468,39.7015644,2.37,236,1,Summer,ALL
90.70470395,41.76312275,2.18,236,1,Summer,ALL
91.69224813,44.22940305,3.91,325,1,Summer,ALL
92.09145005,46.83819422,1.88,214,1,Summer,ALL
92.14149802,49.25558224,2.55,243,1,Summer,ALL
92.92613083,51.85912109,2.14,31,1,Summer,ALL
92.97286887,54.25683049,1.86,257,1,Summer,ALL
92.89917373,56.50017424,2.92,210,1,Summer,ALL
92.94948837,58.94490897,2.38,189,1,Summer,ALL
93.50062035,62.12811871,1.77,249,1,Summer,ALL
93.55113355,63.45806427,2.53,242,1,Summer,ALL
93.60166344,44.78023818,1.7,272,1,Summer,ALL
93.65221001,48.27535116,1.75,260,1,Summer,ALL
93.70277326,51.53950662,4.54,282,1,Summer,ALL
93.75335321,54.50671701,1.45,257,1,Summer,ALL
93.80394986,57.76391316,6.5,274,1,Summer,ALL
94.02558376,61.25801377,2.23,242,1,Summer,ALL
94.07627029,58.79732406,7.06,277,1,Summer,ALL
94.12697355,62.27221824,1.34,270,1,Summer,ALL
94.24983328,65.92835786,2.81,256,1,Summer,ALL
94.30059384,69.37021596,1.68,39,1,Summer,ALL
94.35137116,72.82686352,5.89,263,1,Summer,ALL
94.40216524,76.05142848,1.42,238,1,Summer,ALL
94.45297609,78.99672878,1.96,226,1,Summer,ALL
94.40189019,81.73575375,4.2,250,1,Summer,ALL
94.41454846,84.58032156,2.03,242,1,Summer,ALL
94.28896665,87.62287951,1.88,278,1,Summer,ALL
94.30721038,90.77370436,3,274,1,Summer,ALL
94.35798988,94.01843819,1.94,213,1,Summer,ALL
94.40878615,97.29275508,1.9,355,1,Summer,ALL
94.34974691,100.5161282,1.49,190,1,Summer,ALL
94.40054046,103.8447863,3.13,224,1,Summer,ALL
94.45135077,106.9707971,2.72,255,1,Summer,ALL
94.50217787,110.0676499,1.85,170,1,Summer,ALL
94.6272229,113.4510945,2.79,345,1,Summer,ALL
95.50845456,117.0756449,6,337,1,Summer,ALL
95.95390996,120.9105176,3.45,255,1,Summer,ALL
96.00523313,124.8076541,1.75,346,1,Summer,ALL
95.95927865,128.9370117,2.12,276,1,Summer,ALL
96.15542028,133.9741978,2.5,251,1,Summer,ALL
96.20680997,138.2169333,2.09,221,1,Summer,ALL
96.05262801,142.1164663,2.66,246,1,Summer,ALL
95.15904693,145.3902257,1.4,282,1,Summer,ALL
95.09480547,148.724356,3.3,262,1,Summer,ALL
95.145845,152.2477366,1.6,202,1,Summer,ALL
95.19690138,155.8936405,1.58,232,1,Summer,ALL
95.1031175,159.4514306,1.82,202,1,Summer,ALL
95.00212556,163.1612367,2.25,84,1,Summer,ALL
94.88819446,166.9490121,1.45,241,1,Summer,ALL
94.89264616,171.0032383,1.01,226,1,Summer,ALL
94.82911044,127.1500934,1.73,246,1,Summer,ALL
94.66212935,111.9351882,2.06,245,1,Summer,ALL
94.01032953,103.0758545,1.16,267,1,Summer,ALL
92.71300547,94.15862144,3.94,190,1,Summer,ALL
92.44691701,89.1182885,1.94,220,1,Summer,ALL
91.8982343,93.1927486,1.96,251,1,Summer,ALL
91.94821848,89.35592277,1.36,103,1,Summer,ALL
91.99821916,91.82317719,1.53,230,1,Summer,ALL
92.04823635,94.14767224,0.54,12,1,Summer,ALL
92.09827006,88.05280086,2.37,224,1,Summer,ALL
92.14832028,92.96546322,1.12,208,1,Summer,ALL
92.19838702,97.67525114,2.25,218,1,Summer,ALL
91.96762595,96.90968128,0.91,62,1,Summer,ALL
91.14724447,98.48244603,3.53,76,1,Summer,ALL
90.97226891,102.2804628,1.81,236,1,Summer,ALL
91.02194738,79.88800863,0.41,72,1,Summer,ALL
91.07164225,41.21623993,1.66,311,1,Summer,ALL
90.94877576,26.03278497,2.1,62,1,Summer,ALL
91.13188681,22.4143711,1.79,213,1,Summer,ALL
91.18161798,28.29533738,1.27,239,1,Summer,ALL
91.19444826,25.59905167,1.34,236,1,Summer,ALL
92.13381352,31.31928439,1.92,263,1,Summer,ALL
93.50984695,36.11751743,0.82,306,1,Summer,ALL
94.23260894,42.10879672,1.75,155,1,Summer,ALL
94.28336381,47.89443908,1.4,1,1,Summer,ALL
92.97799516,52.31023479,0.99,290,1,Summer,ALL
92.25746263,56.64824285,1.84,321,1,Summer,ALL
92.30756541,61.04123393,1.97,253,1,Summer,ALL
92.35768473,65.11954813,2.1,241,1,Summer,ALL
92.22083434,68.82449097,1.38,235,1,Summer,ALL
92.27092502,72.53915443,2.14,35,1,Summer,ALL
92.23089091,76.15302315,0.97,267,1,Summer,ALL
92.28098491,80.14904941,1.96,151,1,Summer,ALL
92.77255277,84.32889227,1.32,236,1,Summer,ALL
92.82218654,88.0227804,1.79,199,1,Summer,ALL
92.87247576,91.61483317,1.64,223,1,Summer,ALL
92.28981338,94.56836249,1.36,200,1,Summer,ALL
91.91873983,97.46900575,2.33,257,1,Summer,ALL
91.58830905,100.4817149,2.96,205,1,Summer,ALL
91.63819091,103.9162394,1.36,355,1,Summer,ALL
91.68808924,99.89818313,4.04,281,1,Summer,ALL
92.08357599,103.9317777,3.33,225,1,Summer,ALL
92.48413659,108.1127301,2.18,190,1,Summer,ALL
92.53431421,111.9272326,1.45,251,1,Summer,ALL
91.38840671,115.1050611,1.9,252,1,Summer,ALL
90.57031087,106.2742708,1.92,62,1,Summer,ALL
89.48136873,85.06990529,4.75,55,1,Summer,ALL
88.39192034,45.84668205,2.68,29,1,Summer,ALL
90.09119776,38.40750861,4.02,268,1,Summer,ALL
90.14058534,42.50161761,3.78,321,1,Summer,ALL
89.32572464,26.96689105,1.64,63,1,Summer,ALL
87.88663717,29.51880621,1.4,210,1,Summer,ALL
87.93529692,32.33020477,2.1,323,1,Summer,ALL
89.04916213,35.93796804,2.87,58,1,Summer,ALL
89.35794883,39.6446796,2.57,28,1,Summer,ALL
89.70330814,39.751449,2.57,287,1,Summer,ALL
89.75256766,43.37595442,1.34,343,1,Summer,ALL
88.8251152,34.57520395,1.73,243,1,Summer,ALL
88.87408479,20.32901652,1.25,247,1,Summer,ALL
88.92307054,13.62930242,2.23,72,1,Summer,ALL
88.97207247,10.11556609,1.21,60,1,Summer,ALL
89.05146331,13.29420337,2.09,229,1,Summer,ALL
89.79663691,16.48029793,1.08,170,1,Summer,ALL
91.88833017,20.58247143,1.43,54,1,Summer,ALL
94.80044156,26.15484229,1.06,57,1,Summer,ALL
95.71345309,31.42504061,3.87,219,1,Fall,ALL
95.41465286,35.66354198,1.97,245,1,Fall,ALL
95.03954547,39.60135957,1.82,58,1,Fall,ALL
94.77081215,43.36565729,5.07,243,1,Fall,ALL
94.65334652,47.17862224,1.94,243,1,Fall,ALL
94.2474197,51.09429467,1.04,237,1,Fall,ALL
93.33693707,54.6515055,2.52,11,1,Fall,ALL
92.50262936,57.98738109,1.56,57,1,Fall,ALL
92.33853586,61.2230744,0.54,251,1,Fall,ALL
92.16896076,64.43997124,4.62,71,1,Fall,ALL
91.97933156,67.59863891,1.36,62,1,Fall,ALL
91.46140109,70.43649959,1.42,29,1,Fall,ALL
91.49739675,73.35001101,1.45,355,1,Fall,ALL
91.54724859,76.24206461,4.15,332,1,Fall,ALL
92.17679363,79.2203464,6.76,250,1,Fall,ALL
94.00701584,82.62910139,2.89,247,1,Fall,ALL
94.71866911,86.49768344,2.46,233,1,Fall,ALL
94.76958445,89.28547138,1.17,259,1,Fall,ALL
94.47290803,91.47313139,1.27,60,1,Fall,ALL
93.17009623,93.08145301,1.7,262,1,Fall,ALL
93.20527873,94.84724651,1.51,192,1,Fall,ALL
92.25641826,89.69420886,1.6,64,1,Fall,ALL
