FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
88.84586626,7.841529537,1.73,287,1,Spring,All
89.77320195,9.344104033,2.07,45,1,Spring,All
89.76375148,9.775879098,4.73,232,1,Spring,All
89.81303096,10.37920508,1.58,252,1,Spring,All
89.82610164,8.125499421,6.12,73,1,Spring,All
89.8754017,9.379964003,3.11,239,1,Spring,All
89.69808313,8.632450425,2.18,192,1,Spring,All
89.7728451,10.01132784,2.05,112,1,Spring,All
90.60893161,11.71319059,2.52,66,1,Spring,All
91.52221373,14.18857546,1.42,230,1,Spring,All
91.57207377,8.954872851,1.51,221,1,Spring,All
91.62195027,10.23227266,3.37,226,1,Spring,All
91.59754339,11.66660466,2.18,280,1,Spring,All
91.19782157,12.87653876,1.88,337,1,Spring,All
91.38272097,14.5676967,2.18,160,1,Spring,All
91.95277556,16.63467313,1.16,280,1,Spring,All
92.38964156,18.89451504,0.72,66,1,Spring,All
92.43978798,21.31363322,5.55,215,1,Spring,All
92.48995096,23.80424763,1.73,229,1,Spring,All
92.91233182,26.54416911,0.93,264,1,Spring,All
93.59592842,29.78698269,1.75,240,1,Spring,All
93.6464731,32.56040075,3.71,49,1,Spring,All
93.69703446,35.07323835,4.04,216,1,Spring,All
93.74761251,37.87876331,6.13,40,1,Spring,All
93.95473622,41.09442665,3.66,236,1,Spring,All
94.00539936,43.77524248,4.25,239,1,Spring,All
94.05047283,41.52089375,1.86,90,1,Spring,All
93.13165423,43.17058009,2.65,272,1,Spring,All
92.39011531,45.19461724,4.45,85,1,Spring,All
92.35673751,47.51678816,1.36,196,1,Spring,All
92.40687306,50.35674102,2.18,355,1,Spring,All
92.55099493,52.8093621,4.08,285,1,Spring,All
92.60119462,54.66301462,2.42,228,1,Spring,All
92.23670126,56.01570733,1.77,244,1,Spring,All
92.39072467,58.31435352,2.8,218,1,Spring,All
92.55451147,61.22958613,4.42,267,1,Spring,All
92.60471232,64.33063824,3.33,59,1,Spring,All
92.21940108,66.88297703,2.81,273,1,Spring,All
91.37735668,69.33072993,2.14,268,1,Spring,All
90.66642175,71.67900162,1.88,30,1,Spring,All
90.71599924,74.32531343,2.37,196,1,Spring,All
90.76559311,77.13272776,3.17,336,1,Summer,All
91.375195,79.96537778,3.61,241,1,Summer,All
91.54601298,82.53276673,4.62,222,2,Summer,All
91.68735377,85.08244204,2.45,211,1,Summer,All
91.73726832,87.51444291,2.42,227,1,Summer,All
90.21821342,53.71572232,2.25,206,1,Summer,All
90.26764294,55.38469246,2.37,236,1,Summer,All
91.67652427,57.55914779,2.18,236,1,Summer,All
92.87319215,60.18755934,3.91,325,1,Summer,All
93.69494397,63.06086387,1.88,214,2,Summer,All
93.77961297,65.73137634,2.55,243,2,Summer,All
94.00040904,68.77433039,2.14,31,2,Summer,All
94.05108725,71.87685668,1.86,257,2,Summer,All
