FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
86.48032764,7.49190213,2.72,196,1,Spring,All
87.60799691,8.841638095,4.25,71,1,Spring,All
87.73676792,6.965215235,3.3,205,1,Spring,All
87.78537819,3.813452962,2.37,214,1,Spring,All
87.83400451,3.768528379,1.99,57,1,Spring,All
87.97337121,5.169766824,1.73,28,1,Spring,All
88.97034675,6.995464286,2.01,57,1,Spring,All
91.10611484,10.0195902,3.22,329,1,Spring,All
92.57875281,13.66814065,4.17,221,1,Spring,All
93.30646427,17.44237654,1.86,204,1,Spring,All
93.35691338,20.22831601,1.48,230,1,Spring,All
93.872438,23.26728909,2.44,45,1,Spring,All
94.5902277,27.07831632,3.35,242,2,Spring,All
94.64110064,30.88288601,1.97,62,2,Spring,All
94.23090891,33.64480766,1.47,236,2,Spring,All
94.28166322,36.81012212,2.79,279,2,Spring,All
94.33243429,39.79664075,2.87,123,2,Spring,All
93.71686173,41.67712086,1.62,52,2,Spring,All
93.76744633,43.65468027,3.32,250,2,Spring,All
93.65321233,45.46268009,2.09,215,2,Spring,All
92.73690438,47.9799911,3.74,223,2,Spring,All
92.78716545,51.2501944,6.46,278,2,Spring,All
93.93989538,55.60379282,2.57,211,2,Spring,All
95.12297538,59.96415311,2.94,231,2,Spring,All
94.98612336,63.24789299,1.55,212,2,Spring,All
94.36082489,66.27667661,2.41,268,2,Spring,All
94.41162209,69.79842983,2.55,195,2,Spring,All
95.08812759,73.79403671,2.92,220,2,Spring,All
95.54272698,77.37445763,2.29,229,3,Spring,All
95.14331247,80.87482814,3.76,33,3,Spring,All
95.19436801,84.79171131,2.33,244,3,Spring,All
95.55346946,89.1333065,3.54,58,3,Spring,All
95.60466042,93.56708636,1.92,318,3,Spring,All
95.28243894,96.84776161,2.76,209,3,Spring,All
95.06318265,100.2216299,3.09,54,3,Spring,All
94.08702127,103.505855,2.53,282,3,Spring,All
93.90823861,106.6406839,2.85,272,3,Spring,All
94.51243762,110.7463554,4.82,259,3,Spring,All
94.56328488,114.6051829,2.66,226,3,Spring,All
94.64863961,118.0200464,2.48,12,3,Spring,All
94.69953183,121.7928401,1.84,242,3,Spring,All
94.75044086,125.6587137,4.24,239,3,Summer,All
94.51632753,129.5412029,1.96,238,3,Summer,All
94.56717607,133.6407895,2.1,220,3,Summer,All
94.90719489,138.800634,1.43,250,3,Summer,All
95.54481444,144.6804045,2.48,228,3,Summer,All
95.78096851,150.6945194,1.56,245,3,Summer,All
95.83223458,156.7392258,1.77,238,4,Summer,All
95.88351757,162.3260315,1.96,284,4,Summer,All
95.67261399,167.017759,4.96,250,4,Summer,All
95.72384428,171.5896475,3.87,225,4,Summer,All
95.77509149,176.302181,3.87,68,4,Summer,All
95.82635561,181.6972343,1.88,48,4,Summer,All
95.99514639,186.943742,1.53,235,4,Summer,All
96.04648316,192.0318632,4.17,217,4,Summer,All
96.09783689,197.5180984,3.11,36,4,Summer,All
95.37887182,201.730011,2.63,255,4,Summer,All
95.15291712,206.1247582,1.75,240,4,Summer,All
95.20397583,210.6991502,1.95,279,4,Summer,All
95.86668923,214.6349587,1.79,281,4,Summer,All
95.91798359,218.9381413,2.68,223,4,Summer,All
95.9692949,223.0096303,1.47,182,4,Summer,All
96.02062314,226.9214596,4.45,222,5,Summer,All
96.03887945,231.6922283,1.9,100,4,Summer,All
96.09023066,236.3128274,2.48,206,4,Summer,All
95.72876975,240.4778986,3.45,328,4,Summer,All
95.71230154,244.531533,2.91,245,4,Summer,All
95.14841039,248.4627573,2.07,227,4,Summer,All
94.64702807,252.0668457,2.5,267,3,Summer,All
94.503321,255.9173477,3.69,298,4,Summer,All
94.8590952,260.4407178,0.99,300,3,Summer,All
94.91005691,265.1542043,2.57,240,4,Summer,All
94.90458962,269.3957003,2.81,273,4,Summer,All
94.57759732,273.4186866,2.29,316,3,Summer,All
94.62846609,277.9464914,1.53,54,3,Summer,All
96.09175756,283.510207,3.74,292,5,Summer,All
96.14312623,288.8432338,1.79,218,4,Summer,All
96.19451186,294.561403,3.28,298,5,Summer,All
96.24591446,300.4765127,1.86,262,4,Summer,All
96.29733403,306.6046907,4.66,210,5,Summer,All
96.34877057,313.0331829,2.16,210,4,Summer,All
96.4002241,149.2542489,2.35,237,4,Summer,All
96.45169461,154.4032815,1.36,228,4,Summer,All
96.50318211,125.8966823,2.96,253,4,Summer,All
96.55468662,132.7101617,6.41,259,5,Summer,All
96.60620813,139.312478,3.93,225,4,Summer,All
96.53057085,100.7783977,3.5,210,3,Summer,All
95.9260576,106.6636058,1.7,356,3,Summer,All
95.19037103,111.9948302,1.17,45,3,Summer,All
94.8954823,117.4637562,1.08,229,3,Summer,All
94.94645602,123.0553334,1.75,14,3,Summer,All
94.2124401,86.97032505,2.76,214,2,Summer,All
94.26318832,93.20988723,1.45,250,2,Summer,All
94.31395329,73.90194299,1.12,212,2,Summer,All
94.85791903,45.69936232,1.82,251,2,Summer,All
94.98534191,36.56461209,1.49,237,2,Summer,All
95.0363453,45.55002298,2.4,234,2,Summer,All
95.50645098,31.87660839,1.23,256,2,Summer,All
95.46519396,27.02749479,2.25,197,2,Summer,All
95.23835124,22.85969333,1.08,247,1,Summer,All
94.82608538,21.64556301,1.84,216,1,Summer,All
94.87703619,30.04546922,1.42,244,2,Summer,All
94.34063178,37.33848266,2.25,233,2,Summer,All
93.77090537,28.02276381,1.32,199,1,Summer,All
93.48451954,24.86106094,0.89,290,1,Summer,All
92.75327747,29.56325031,2.03,231,1,Summer,All
92.79946066,36.05526896,2.29,29,1,Summer,All
92.77831293,42.30788483,3.56,308,2,Summer,All
92.82858767,37.68877828,2.07,224,1,Summer,All
92.87887901,33.30737594,2.37,195,1,Summer,All
92.92918695,33.56565994,1.99,230,1,Summer,All
92.9795115,39.42512841,3.13,304,2,Summer,All
94.4123098,47.23735377,2.48,278,2,Summer,All
94.69610685,54.8606586,1.86,283,2,Summer,All
94.74701475,62.0898395,1.43,230,2,Summer,All
94.79793946,68.62806182,2.16,236,2,Summer,All
94.84888097,74.9602568,1.17,262,2,Summer,All
94.89983931,80.34922126,1.04,225,2,Summer,All
94.95081447,69.73597376,1.73,221,2,Summer,All
94.70897243,75.06376706,1.82,233,2,Summer,All
94.11194292,52.89125103,2.19,201,2,Summer,All
93.14006794,32.07342239,2.68,247,1,Summer,All
93.16967145,22.69795452,4.49,205,1,Summer,All
92.87788211,18.82056399,1.55,252,1,Summer,All
92.80885436,14.80822659,0.82,238,1,Summer,All
92.04939906,14.61360813,1.58,256,1,Summer,All
91.25336563,12.61787632,2.59,228,1,Summer,All
90.81410836,11.73568739,1.84,247,1,Summer,All
90.36703959,11.25437223,2.63,194,1,Summer,All
90.28874757,13.76378573,2.53,231,1,Summer,All
90.31792362,11.16736862,1.17,234,1,Summer,All
90.36738606,10.79798273,1.6,219,1,Summer,All
90.63058421,12.84240628,2.74,276,1,Summer,All
90.8262096,17.14467045,2.81,40,1,Summer,All
91.32320546,17.48251612,1.62,209,1,Summer,All
91.83627282,16.67327664,0.43,272,1,Summer,All
91.88623654,15.98121918,0.69,359,1,Summer,All
91.93621676,16.60309616,1.47,60,1,Summer,All
91.98621348,22.50219779,2.1,236,1,Summer,All
92.0362267,19.10306818,1.42,47,1,Summer,All
92.08625644,17.16445444,1.4,60,1,Summer,All
92.04146846,14.07489586,1.66,44,1,Summer,All
91.14278845,12.23536599,1.96,271,1,Summer,All
91.19252322,11.47949585,1.42,2,1,Summer,All
91.24227441,11.35501602,0.95,218,1,Summer,All
91.29204202,13.02702704,0.88,355,1,Summer,All
91.62388776,12.60331133,2.68,229,1,Summer,All
91.81429419,18.62626698,2.27,223,1,Summer,All
91.86425066,14.85754204,1.92,149,1,Summer,All
92.24028368,19.95344569,1.96,110,1,Summer,All
92.94068439,24.63442639,1.66,233,1,Summer,All
93.01340839,28.41580397,1.81,307,1,Summer,All
93.06376074,33.13613621,0.26,251,1,Summer,All
93.05218672,30.13071217,3.39,20,1,Summer,All
92.51587831,23.12506095,1.71,233,1,Summer,All
92.5660664,18.93860006,1.45,193,1,Summer,All
92.34467906,17.27228107,1.99,304,1,Summer,All
91.70179133,15.21803245,1.21,21,1,Summer,All
