Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
1, AbieConc, Clay3, 18335, 0.78, 1, 0, 0, 171, 98, 269, 
1, AbieConc, Clay2, 56553, 0.85, 1, 0, 0, 161, 105, 266, 
1, AbieConc, Clay1, 6152, 0.86, 1, 0, 0, 155, 109, 265, 
1, AbieConc, ClayLoam3, 17736, 0.87, 1, 0, 0, 167, 101, 268, 
1, AbieConc, ClayLoam2, 46636, 0.95, 1, 0, 0, 144, 116, 261, 
1, AbieConc, ClayLoam1, 2234, 0.72, 1, 0, 0, 162, 104, 266, 
1, AbieConc, ClayLoam4, 947, 0.99, 1, 0, 0, 166, 103, 269, 
1, AbieConc, Sands3, 12063, 0.95, 1, 0, 0, 168.94, 100, 270, 
1, AbieConc, Sands2, 14607, 0.92, 1, 0, 0, 163, 105, 268, 
1, AbieConc, Sands1, 18399, 0.71, 1, 0, 0, 166, 101, 267, 
1, AbieConc, Sands4, 3406, 0.7, 1, 0.12, 0.02, 128.04, 123, 260, 
1, AbieConc, Shallow3, 13483, 0.78, 1, 0, 0, 167.44, 99, 269, 
1, AbieConc, Shallow2, 16776, 0.85, 1, 0, 0, 156, 107, 264, 
1, AbieConc, Shallow1, 5847, 0.88, 1, 0, 0, 148, 114, 263, 
1, AbieLasi, Clay3, 18381, 0.78, 1, 0, 0, 171, 98, 269, 
1, AbieLasi, Clay2, 56519, 0.85, 1, 0, 0, 161, 105, 266, 
1, AbieLasi, Clay1, 6139, 0.86, 1, 0, 0, 155, 109, 265, 
1, AbieLasi, ClayLoam3, 17764, 0.87, 1, 0, 0, 167, 101, 268, 
1, AbieLasi, ClayLoam2, 46586, 0.95, 1, 0, 0, 144, 116, 261, 
1, AbieLasi, ClayLoam1, 2249, 0.72, 1, 0, 0, 162, 104, 266, 
1, AbieLasi, ClayLoam4, 910, 0.99, 1, 0, 0, 166, 103, 269, 
1, AbieLasi, Sands3, 11983, 0.95, 1, 0, 0, 168.94, 100, 270, 
1, AbieLasi, Sands2, 14635, 0.92, 1, 0, 0, 163, 105, 268, 
1, AbieLasi, Sands1, 18444, 0.71, 1, 0, 0, 166, 101, 267, 
1, AbieLasi, Sands4, 3370, 0.7, 1, 0.12, 0.02, 128.01, 123, 260, 
1, AbieLasi, Shallow3, 13453, 0.78, 1, 0, 0, 167.35, 99, 269, 
1, AbieLasi, Shallow2, 16620, 0.85, 1, 0, 0, 156, 107, 264, 
1, AbieLasi, Shallow1, 5889, 0.88, 1, 0, 0, 148, 114, 263, 
1, JuniOste, Clay3, 3202, 1, 1, 0, 0, 171, 98, 269, 
1, JuniOste, Clay2, 12981, 1, 1, 0, 0, 161, 105, 266, 
1, JuniOste, Clay1, 986, 1, 1, 0, 0, 155, 109, 265, 
1, JuniOste, ClayLoam3, 2257, 1, 1, 0, 0, 167, 101, 268, 
1, JuniOste, ClayLoam2, 19190, 0.99, 1, 0, 0, 144, 116, 261, 
1, JuniOste, ClayLoam1, 620, 0.99, 1, 0, 0, 162, 104, 266, 
1, JuniOste, ClayLoam4, 308, 0.92, 1, 0, 0, 166, 103, 269, 
1, JuniOste, Sands3, 2755, 0.99, 1, 0, 0, 169.56, 100, 270, 
1, JuniOste, Sands2, 4914, 1, 1, 0, 0, 163, 105, 268, 
1, JuniOste, Sands1, 3850, 0.99, 1, 0, 0, 166, 101, 267, 
1, JuniOste, Sands4, 1562, 0.69, 1, 0, 0, 126.35, 123, 260, 
1, JuniOste, Shallow3, 649, 1, 1, 0, 0, 167.33, 99, 269, 
1, JuniOste, Shallow2, 4003, 1, 1, 0, 0, 156, 107, 264, 
1, JuniOste, Shallow1, 389, 1, 1, 0, 0, 148, 114, 263, 
1, PiceEnge, Clay3, 5063, 0, 1, 0, 0, 171, 98, 269, 
1, PiceEnge, Clay2, 20736, 0, 1, 0, 0, 161, 105, 266, 
1, PiceEnge, Clay1, 1814, 0, 1, 0, 0, 155, 109, 265, 
1, PiceEnge, ClayLoam3, 4333, 0, 1, 0, 0, 167, 101, 268, 
1, PiceEnge, ClayLoam2, 23928, 0.15, 1, 0, 0, 144, 116, 261, 
1, PiceEnge, ClayLoam1, 942, 0, 1, 0, 0, 162, 104, 266, 
1, PiceEnge, ClayLoam4, 448, 0.74, 1, 0, 0, 166, 103, 269, 
1, PiceEnge, Sands3, 4217, 0.17, 1, 0, 0, 169.39, 100, 270, 
1, PiceEnge, Sands2, 6830, 0, 1, 0, 0, 163, 105, 268, 
1, PiceEnge, Sands1, 6459, 0, 1, 0, 0, 166, 101, 267, 
1, PiceEnge, Sands4, 1760, 0.99, 1, 0, 0, 126.68, 123, 260, 
1, PiceEnge, Shallow3, 2413, 0, 1, 0, 0, 167.21, 99, 269, 
1, PiceEnge, Shallow2, 6064, 0, 1, 0, 0, 156, 107, 264, 
1, PiceEnge, Shallow1, 1306, 0, 1, 0, 0, 148, 114, 263, 
1, PicePung, Clay3, 5038, 0, 1, 0, 0, 171, 98, 269, 
1, PicePung, Clay2, 20819, 0, 1, 0, 0, 161, 105, 266, 
1, PicePung, Clay1, 1780, 0, 1, 0, 0, 155, 109, 265, 
1, PicePung, ClayLoam3, 4294, 0, 1, 0, 0, 167, 101, 268, 
1, PicePung, ClayLoam2, 23956, 0.15, 1, 0, 0, 144, 116, 261, 
1, PicePung, ClayLoam1, 931, 0, 1, 0, 0, 162, 104, 266, 
1, PicePung, ClayLoam4, 435, 0.74, 1, 0, 0, 166, 103, 269, 
1, PicePung, Sands3, 4238, 0.17, 1, 0, 0, 169.38, 100, 270, 
1, PicePung, Sands2, 6923, 0, 1, 0, 0, 163, 105, 268, 
1, PicePung, Sands1, 6479, 0, 1, 0, 0, 166, 101, 267, 
1, PicePung, Sands4, 1773, 0.99, 1, 0, 0, 126.7, 123, 260, 
1, PicePung, Shallow3, 2422, 0, 1, 0, 0, 167.26, 99, 269, 
1, PicePung, Shallow2, 6139, 0, 1, 0, 0, 156, 107, 264, 
1, PicePung, Shallow1, 1287, 0, 1, 0, 0, 148, 114, 263, 
1, PinuPond, Clay3, 5116, 1, 1, 0, 0, 171, 98, 269, 
1, PinuPond, Clay2, 20753, 1, 1, 0, 0, 161, 105, 266, 
1, PinuPond, Clay1, 1822, 1, 1, 0, 0, 155, 109, 265, 
1, PinuPond, ClayLoam3, 4261, 1, 1, 0, 0, 167, 101, 268, 
1, PinuPond, ClayLoam2, 23914, 0.99, 1, 0, 0, 144, 116, 261, 
1, PinuPond, ClayLoam1, 911, 1, 1, 0, 0, 162, 104, 266, 
1, PinuPond, ClayLoam4, 448, 0.91, 1, 0, 0, 166, 103, 269, 
1, PinuPond, Sands3, 4174, 0.98, 1, 0, 0, 169.38, 100, 270, 
1, PinuPond, Sands2, 6790, 0.99, 1, 0, 0, 163, 105, 268, 
1, PinuPond, Sands1, 6392, 1, 1, 0, 0, 166, 101, 267, 
1, PinuPond, Sands4, 1777, 0.7, 1, 0.12, 0.02, 126.81, 123, 260, 
1, PinuPond, Shallow3, 2392, 1, 1, 0, 0, 167.31, 99, 269, 
1, PinuPond, Shallow2, 6098, 1, 1, 0, 0, 156, 107, 264, 
1, PinuPond, Shallow1, 1293, 1, 1, 0, 0, 148, 114, 263, 
1, PinuEdul, Clay3, 5056, 1, 1, 0, 0, 171, 98, 269, 
1, PinuEdul, Clay2, 20711, 0.99, 1, 0, 0, 161, 105, 266, 
1, PinuEdul, Clay1, 1826, 0.99, 1, 0, 0, 155, 109, 265, 
1, PinuEdul, ClayLoam3, 4218, 0.99, 1, 0, 0, 167, 101, 268, 
1, PinuEdul, ClayLoam2, 23959, 0.96, 1, 0, 0, 144, 116, 261, 
1, PinuEdul, ClayLoam1, 924, 1, 1, 0, 0, 162, 104, 266, 
1, PinuEdul, ClayLoam4, 430, 0.85, 1, 0, 0, 166, 103, 269, 
1, PinuEdul, Sands3, 4200, 0.96, 1, 0, 0, 169.39, 100, 270, 
1, PinuEdul, Sands2, 6814, 0.97, 1, 0, 0, 163, 105, 268, 
1, PinuEdul, Sands1, 6438, 1, 1, 0, 0, 166, 101, 267, 
1, PinuEdul, Sands4, 1752, 0.57, 1, 0.09, 0.02, 126.63, 123, 260, 
1, PinuEdul, Shallow3, 2343, 1, 1, 0, 0, 167.34, 99, 269, 
1, PinuEdul, Shallow2, 6082, 0.99, 1, 0, 0, 156, 107, 264, 
1, PinuEdul, Shallow1, 1258, 0.98, 1, 0, 0, 148, 114, 263, 
1, PopuTrem, Clay3, 3187, 0.93, 1, 0, 0, 171, 98, 269, 
1, PopuTrem, Clay2, 12896, 0.97, 1, 0, 0, 161, 105, 266, 
1, PopuTrem, Clay1, 992, 0.97, 1, 0, 0, 155, 109, 265, 
1, PopuTrem, ClayLoam3, 2254, 0.97, 1, 0, 0, 167, 101, 268, 
1, PopuTrem, ClayLoam2, 19189, 1, 1, 0, 0, 144, 116, 261, 
1, PopuTrem, ClayLoam1, 588, 0.91, 1, 0, 0, 162, 104, 266, 
1, PopuTrem, ClayLoam4, 320, 0.94, 1, 0, 0, 166, 103, 269, 
1, PopuTrem, Sands3, 2793, 1, 1, 0, 0, 169.56, 100, 270, 
1, PopuTrem, Sands2, 4884, 0.99, 1, 0, 0, 163, 105, 268, 
1, PopuTrem, Sands1, 3862, 0.9, 1, 0, 0, 166, 101, 267, 
1, PopuTrem, Sands4, 1558, 0.58, 1, 0.05, 0.01, 126.32, 123, 260, 
1, PopuTrem, Shallow3, 631, 0.94, 1, 0, 0, 167.45, 99, 269, 
1, PopuTrem, Shallow2, 3992, 0.97, 1, 0, 0, 156, 107, 264, 
1, PopuTrem, Shallow1, 400, 0.98, 1, 0, 0, 148, 114, 263, 
1, PseuMenz, Clay3, 5045, 0.96, 1, 0, 0, 171, 98, 269, 
1, PseuMenz, Clay2, 20733, 0.95, 1, 0, 0, 161, 105, 266, 
1, PseuMenz, Clay1, 1802, 0.94, 1, 0, 0, 155, 109, 265, 
1, PseuMenz, ClayLoam3, 4252, 0.94, 1, 0, 0, 167, 101, 268, 
1, PseuMenz, ClayLoam2, 23937, 0.91, 1, 0, 0, 144, 116, 261, 
