Time,SpeciesName,NumCohortsPlanting,NumCohortsSerotiny,NumCohortsResprout,NumCohortsSeed,
1, AbieConc, 0, 0, 0, 10, 
1, AbieLasi, 0, 0, 0, 22, 
1, JuniOste, 0, 0, 0, 0, 
1, PiceEnge, 0, 0, 0, 0, 
1, PicePung, 0, 0, 0, 0, 
1, PinuPond, 0, 0, 0, 6, 
1, PinuEdul, 0, 0, 0, 2, 
1, PopuTrem, 0, 0, 13, 5, 
1, PseuMenz, 0, 0, 0, 0, 
1, QuerGamb, 0, 0, 325, 4, 
2, AbieConc, 0, 0, 0, 12, 
2, AbieLasi, 0, 0, 0, 28, 
2, JuniOste, 0, 0, 0, 0, 
2, PiceEnge, 0, 0, 0, 0, 
2, PicePung, 0, 0, 0, 0, 
2, PinuPond, 0, 0, 0, 18, 
2, PinuEdul, 0, 0, 0, 1, 
2, PopuTrem, 0, 0, 244, 4, 
2, PseuMenz, 0, 0, 0, 0, 
2, QuerGamb, 0, 0, 600, 6, 
3, AbieConc, 0, 0, 0, 209, 
3, AbieLasi, 0, 0, 0, 96, 
3, JuniOste, 0, 0, 0, 0, 
3, PiceEnge, 0, 0, 0, 0, 
3, PicePung, 0, 0, 0, 0, 
3, PinuPond, 0, 0, 0, 1397, 
3, PinuEdul, 0, 0, 0, 47, 
3, PopuTrem, 0, 0, 96, 119, 
3, PseuMenz, 0, 0, 0, 63, 
3, QuerGamb, 0, 0, 1291, 477, 
4, AbieConc, 0, 0, 0, 356, 
4, AbieLasi, 0, 0, 0, 148, 
4, JuniOste, 0, 0, 0, 1, 
4, PiceEnge, 0, 0, 0, 0, 
4, PicePung, 0, 0, 0, 0, 
4, PinuPond, 0, 0, 0, 3827, 
4, PinuEdul, 0, 0, 0, 249, 
4, PopuTrem, 0, 0, 102, 260, 
4, PseuMenz, 0, 0, 0, 233, 
4, QuerGamb, 0, 0, 869, 2884, 
5, AbieConc, 0, 0, 0, 13, 
5, AbieLasi, 0, 0, 0, 117, 
5, JuniOste, 0, 0, 0, 0, 
5, PiceEnge, 0, 0, 0, 0, 
5, PicePung, 0, 0, 0, 0, 
5, PinuPond, 0, 0, 0, 74, 
5, PinuEdul, 0, 0, 0, 8, 
5, PopuTrem, 0, 0, 286, 57, 
5, PseuMenz, 0, 0, 0, 18, 
5, QuerGamb, 0, 0, 171, 12, 
6, AbieConc, 0, 0, 0, 133, 
6, AbieLasi, 0, 0, 0, 108, 
6, JuniOste, 0, 0, 0, 0, 
6, PiceEnge, 0, 0, 0, 0, 
6, PicePung, 0, 0, 0, 0, 
6, PinuPond, 0, 0, 0, 952, 
6, PinuEdul, 0, 0, 0, 28, 
6, PopuTrem, 0, 0, 52, 75, 
6, PseuMenz, 0, 0, 0, 24, 
6, QuerGamb, 0, 0, 838, 339, 
7, AbieConc, 0, 0, 0, 132, 
7, AbieLasi, 0, 0, 0, 81, 
7, JuniOste, 0, 0, 0, 0, 
7, PiceEnge, 0, 0, 0, 0, 
7, PicePung, 0, 0, 0, 0, 
7, PinuPond, 0, 0, 0, 576, 
7, PinuEdul, 0, 0, 0, 56, 
7, PopuTrem, 0, 0, 397, 53, 
7, PseuMenz, 0, 0, 0, 59, 
7, QuerGamb, 0, 0, 239, 452, 
8, AbieConc, 0, 0, 0, 68, 
8, AbieLasi, 0, 0, 0, 139, 
8, JuniOste, 0, 0, 0, 0, 
8, PiceEnge, 0, 0, 0, 0, 
8, PicePung, 0, 0, 0, 0, 
8, PinuPond, 0, 0, 0, 68, 
8, PinuEdul, 0, 0, 0, 9, 
8, PopuTrem, 0, 0, 133, 89, 
8, PseuMenz, 0, 0, 0, 23, 
8, QuerGamb, 0, 0, 339, 46, 
9, AbieConc, 0, 0, 0, 5, 
9, AbieLasi, 0, 0, 0, 65, 
9, JuniOste, 0, 0, 0, 0, 
9, PiceEnge, 0, 0, 0, 0, 
9, PicePung, 0, 0, 0, 0, 
9, PinuPond, 0, 0, 0, 6, 
9, PinuEdul, 0, 0, 0, 11, 
9, PopuTrem, 0, 0, 105, 11, 
9, PseuMenz, 0, 0, 0, 4, 
9, QuerGamb, 0, 0, 32, 4, 
10, AbieConc, 0, 0, 0, 0, 
10, AbieLasi, 0, 0, 0, 0, 
10, JuniOste, 0, 0, 0, 0, 
10, PiceEnge, 0, 0, 0, 0, 
10, PicePung, 0, 0, 0, 0, 
10, PinuPond, 0, 0, 0, 0, 
10, PinuEdul, 0, 0, 0, 0, 
10, PopuTrem, 0, 0, 51, 0, 
10, PseuMenz, 0, 0, 0, 0, 
10, QuerGamb, 0, 0, 897, 0, 
11, AbieConc, 0, 0, 0, 107, 
11, AbieLasi, 0, 0, 0, 151, 
11, JuniOste, 0, 0, 0, 1, 
11, PiceEnge, 0, 0, 0, 0, 
11, PicePung, 0, 0, 0, 0, 
11, PinuPond, 0, 0, 0, 218, 
11, PinuEdul, 0, 0, 0, 47, 
11, PopuTrem, 0, 0, 378, 131, 
11, PseuMenz, 0, 0, 0, 53, 
11, QuerGamb, 0, 0, 136, 193, 
12, AbieConc, 0, 0, 0, 45, 
12, AbieLasi, 0, 0, 0, 119, 
12, JuniOste, 0, 0, 0, 0, 
12, PiceEnge, 0, 0, 0, 0, 
12, PicePung, 0, 0, 0, 0, 
12, PinuPond, 0, 0, 0, 36, 
12, PinuEdul, 0, 0, 0, 12, 
