Time,Month,ClimateRegionName,ClimateRegionIndex,NumSites,Precipitation,AirTemp,AvgTotalNPP_C,AvgHeteroRespiration,AvgSoilRespiration,avgNEE,Ndep,StreamN,SoilWaterContent,
1, 7, Clay3, 0, 34975, 4.5, 19.2, 26.43, 13.97, 18.54, -12.46, 0.16, 0, 1.07, 
1, 7, Clay2, 1, 89356, 5, 18.8, 34.19, 9.38, 22.37, -24.8, 0.18, 0, 1.2, 
1, 7, Clay1, 2, 10490, 2.8, 19, 0.57, 3.89, 1.72, 3.32, 0.1, 0, 0.68, 
1, 7, ClayLoam3, 3, 35439, 4.8, 18.7, 30.16, 15.11, 21.04, -15.06, 0.17, 0, 1.14, 
1, 7, ClayLoam2, 4, 67166, 4.8, 18, 24.93, 8.58, 16.77, -16.35, 0.17, 0, 1.18, 
1, 7, ClayLoam1, 5, 4459, 4.9, 19.6, 24.38, 5.97, 16.2, -18.41, 0.17, 0, 1.18, 
1, 7, ClayLoam4, 6, 1586, 5.9, 16.3, 59.54, 14.22, 38.63, -45.32, 0.21, 0, 1.41, 
1, 7, Sands3, 7, 22943, 5.2, 17.9, 50.43, 16.98, 34.37, -33.45, 0.19, 0, 1.25, 
1, 7, Sands2, 8, 21735, 5.2, 18.2, 42.91, 9.49, 27.82, -33.41, 0.19, 0, 1.28, 
1, 7, Sands1, 9, 27903, 4.6, 19.6, 30.25, 3.5, 18.93, -26.74, 0.17, 0, 1.12, 
1, 7, Sands4, 10, 7168, 5.9, 13.7, 60.27, 16.7, 41.02, -43.57, 0.21, 0, 1.43, 
1, 7, Shallow3, 11, 25924, 4.8, 19.2, 61.72, 15.18, 38.6, -46.55, 0.17, 0, 1.13, 
1, 7, Shallow2, 12, 26415, 4.8, 18.8, 53.39, 9.88, 33.18, -43.51, 0.17, 0, 1.15, 
1, 7, Shallow1, 13, 10612, 2.6, 19, 31.88, 3.35, 19.17, -28.53, 0.09, 0, 0.61, 
1, 8, Clay3, 0, 34975, 6.4, 18.4, 94.58, 38.02, 63.63, -56.57, 0.23, 0, 1.97, 
1, 8, Clay2, 1, 89356, 5.6, 18.1, 75.42, 18.26, 48.78, -57.16, 0.2, 0, 1.83, 
1, 8, Clay1, 2, 10490, 4.3, 18.2, 50.77, 9.02, 31.9, -41.75, 0.15, 0, 1.31, 
1, 8, ClayLoam3, 3, 35439, 6, 17.9, 91.99, 34.3, 61.41, -57.7, 0.21, 0, 1.89, 
1, 8, ClayLoam2, 4, 67166, 5.4, 17.4, 61.05, 16.29, 39.78, -44.76, 0.19, 0, 1.79, 
1, 8, ClayLoam1, 5, 4459, 4.2, 18.7, 44.66, 8.09, 28.61, -36.57, 0.15, 0, 1.48, 
1, 8, ClayLoam4, 6, 1586, 6.4, 15.5, 87.96, 27.76, 60.08, -60.2, 0.23, 0, 2.1, 
1, 8, Sands3, 7, 22943, 5.7, 17.2, 83.22, 32.18, 58.69, -51.04, 0.2, 0, 1.86, 
1, 8, Sands2, 8, 21735, 5.4, 17.5, 71.58, 16.66, 46.98, -54.92, 0.19, 0, 1.83, 
1, 8, Sands1, 9, 27903, 4.2, 18.6, 52.46, 5.19, 32.41, -47.27, 0.15, 0, 1.47, 
1, 8, Sands4, 10, 7168, 7.7, 13.1, 71.84, 39.64, 58.06, -32.21, 0.27, 0, 2.39, 
1, 8, Shallow3, 11, 25924, 7.4, 18.4, 122.04, 46.57, 81.16, -75.48, 0.26, 0.01, 1.22, 
1, 8, Shallow2, 12, 26415, 5.1, 18.1, 80.45, 17.66, 51.11, -62.79, 0.18, 0, 1.64, 
1, 8, Shallow1, 13, 10612, 4.2, 18.2, 76.94, 8.01, 46.34, -68.94, 0.15, 0, 1.24, 
1, 9, Clay3, 0, 34975, 3.7, 15.1, 95.96, 33.9, 63.8, -62.06, 0.13, 0, 1.68, 
1, 9, Clay2, 1, 89356, 3, 14.7, 73.37, 14.74, 46.65, -58.63, 0.11, 0, 1.47, 
1, 9, Clay1, 2, 10490, 1.6, 14.7, 33.37, 5.58, 20.92, -27.8, 0.06, 0, 0.92, 
1, 9, ClayLoam3, 3, 35439, 4, 14.6, 101.37, 35.02, 67.45, -66.35, 0.14, 0, 1.7, 
1, 9, ClayLoam2, 4, 67166, 3.3, 14.1, 66.96, 15.3, 43.02, -51.66, 0.12, 0, 1.53, 
1, 9, ClayLoam1, 5, 4459, 3.2, 15.2, 66.64, 9.87, 41.87, -56.77, 0.12, 0, 1.38, 
1, 9, ClayLoam4, 6, 1586, 5.3, 12.2, 84.08, 33.72, 61.06, -50.36, 0.19, 0, 2.1, 
1, 9, Sands3, 7, 22943, 4, 13.8, 85.58, 34.89, 61.45, -50.69, 0.14, 0, 1.7, 
